drug,system,semi_partial_pearson,semi_partial_spearman,p_pearson,p_spearman,p_bonferroni_pearson,p_bonferroni_spearman,q_fdr_pearson,q_fdr_spearman,q_fdr_pearson_all,q_fdr_spearman_all
Sorafenib,Ribosome abundance control,0.08938593713568439,0.11641148777889813,0.0037829674261953272,0.000163589642989459,0.49556873283158787,0.021430243231619128,0.01339374953598886,0.00044646340065873186,0.011822713308109451,0.0006821297580356221
Sorafenib,Epigenetic modification,0.0004545220727123218,-0.035593364174002565,0.9882246345064518,0.24805589997716337,1.0,1.0,0.9882246345064518,0.3217358702674099,0.9901141653563685,0.34265718344824325
Sorafenib,Spliceosomal complex,0.10422970050717191,0.21005587394845499,0.0007339258783265468,1.0224043833773067e-11,0.09614429006077763,1.3393497422242717e-09,0.003498736216331122,1.4881663802491907e-10,0.003042058613161911,2.819683667840572e-10
Sorafenib,Interferon signaling,0.04164609065763893,0.0663034765265847,0.17728238791143802,0.03186434040237085,1.0,1.0,0.32709849037180816,0.054924060430402384,0.27268876105360135,0.06522232176110283
Sorafenib,Transmembrane tyrosine kinase signaling,0.005694224840751452,0.06687755537650442,0.8536210309856711,0.03041013474123222,1.0,1.0,0.8891667648914109,0.0538341574473165,0.8939988412454863,0.06315024017598024
Sorafenib,Regulation of mRNA processing,0.07676687914920916,0.20426253468541639,0.012885557714118256,3.699907047405304e-11,1.0,4.8468782321009485e-09,0.03591506511807429,4.4062529382735897e-10,0.03299038554819853,8.94808289003252e-10
Sorafenib,Nucleus,-0.0735827787377511,-0.020670477044960157,0.01713965595698741,0.5018246310135439,1.0,1.0,0.04490589860730701,0.5728431413035566,0.041135174296769786,0.5913555621838763
Sorafenib,Actin filaments,0.04612393419987427,0.06646525308143973,0.13511530463198107,0.03144862987363317,1.0,1.0,0.26418067025058983,0.054924060430402384,0.221251311334869,0.0645403635655035
Sorafenib,Transcription elongation,-0.12440912095375754,-0.052264008670255845,5.572225677519249e-05,0.09004320700125534,0.007299615637550216,1.0,0.0004480805259888091,0.13530968311860045,0.0003421694830101664,0.1510650175090431
Sorafenib,Type I interferon signaling pathway,0.20051513416335043,0.20897166817148874,8.260858663788895e-11,1.3040679647247089e-11,1.0821724849563452e-08,1.7083290337893686e-09,5.410862424781726e-09,1.7083290337893686e-10,2.5972139638952285e-09,3.5344738630124867e-10
Sorafenib,Nuclear transport,-0.1209311552811153,0.017878464471642073,8.944955464440518e-05,0.5637612303734048,0.011717891658417079,1.0,0.0006167311399166884,0.6286988759545192,0.0005131923354051276,0.6450019316935897
Sorafenib,Mediator/CCR-NOT complex,0.04719397855899049,0.08791376878594195,0.12629043730889755,0.00442408472918987,1.0,0.579555099523873,0.2506673831434179,0.009055548430060515,0.2088908473628667,0.012244406662870057
Sorafenib,Apoptosis Regulation,0.005630955427748334,0.15597916368415585,0.8552291021092959,4.386586334170772e-07,1.0,5.746428097763712e-05,0.8891667648914109,2.4984469990277005e-06,0.8950866501436839,3.91490539302549e-06
Sorafenib,Actin cytoskeleton,0.012319606772004417,0.1598892857530476,0.689796566835865,2.2422305145930466e-07,1.0,2.937321974116891e-05,0.806815627281235,1.335146351871314e-06,0.7784351780803874,2.224766240083165e-06
Sorafenib,NeST:49,0.09226752390415882,0.11749169880239171,0.002798335687383524,0.00014210609763876114,0.36658197504724166,0.01861589879067771,0.01066708232863388,0.00039608295299314275,0.009241562396148949,0.0006021314972725944
Sorafenib,Cell motility,0.021473479357317842,0.01754375827889013,0.4866335450824337,0.571108139225861,1.0,1.0,0.6249901412333217,0.6286988759545192,0.5985821070967026,0.6505666629442416
