Gene,Drug,Partner Genes,Candidate Gene Pairs,Gene Pairs Tested,Epistasis Score HMP (-log10[P]),Max Epistasis Score (-log10[P]),Top Interaction for Gene,Top Interaction P-Value,Top Interaction FDR,Epistasis Score HMP FDR
KDM6A,Etoposide,90,789,264,0.8081157101714738,2.127520642918591,DNMT1_amp x KDM6A_del,0.007455544,0.8087393538790444,0.3217936969106689
CSF1R,Etoposide,173,1527,146,0.8194135025296733,1.994771507883392,CSF1R_amp x MYD88_del,0.010121118090430179,0.8546653514366502,0.3217936969106689
MED1,Etoposide,12,102,16,0.6999290823556171,1.380687786412922,MED1_del x TP53_mut,0.041620972,0.8839039,0.3217936969106689
ANKRD11,Etoposide,21,189,46,0.7060669961944748,1.5399979409783304,ANKRD11_mut x HDAC5_amp,0.028840451765617635,0.8658667961037956,0.3217936969106689
AKT1,Etoposide,93,828,127,1.6817599578952112,3.5738389672066906,AKT1_amp x JAK2_amp,0.000266785,0.45082814867552196,0.3217936969106689
SMARCE1,Etoposide,90,789,87,0.7792297049163125,1.9172662412335562,KMT2D_mut x SMARCE1_amp,0.012098562121613803,0.8546653514366502,0.3217936969106689
TPMT,Etoposide,17,150,21,0.7085131201637938,1.678881518214823,ATP7B_mut x TPMT_amp,0.020946838378050937,0.8546653514366502,0.3217936969106689
MTA1,Etoposide,93,810,167,0.8623033825759596,2.3656193402230827,MTA1_del x TP53_mut,0.004309041,0.7937259501518464,0.3217936969106689
FOXP1,Etoposide,173,1527,198,0.8416447769659071,2.4643028669308635,FOXP1_del x FYN_del,0.003433184,0.7699441343637224,0.3217936969106689
IKZF1,Etoposide,108,948,202,0.7421824624830936,1.9668846939971396,CHEK1_del x IKZF1_amp,0.010792332,0.8546653514366502,0.3217936969106689
FGF19,Etoposide,93,825,139,1.1428653496521624,2.868005239493064,FGF19_amp x RHOA_del,0.001355173,0.6612278167912244,0.3217936969106689
PLK2,Etoposide,79,702,97,0.7120355474393422,1.8166976873292504,CBL_mut x PLK2_mut,0.015251140172386908,0.8546653514366502,0.3217936969106689
EGFL7,Etoposide,13,111,8,0.8194299732939425,1.568838976505741,EGFL7_del x ENG_del,0.026987398595497404,0.8658667961037956,0.3217936969106689
KLHL6,Etoposide,98,858,136,0.7375997455110883,1.8658784563067763,CYLD_del x KLHL6_amp,0.013618258,0.8546653514366502,0.3217936969106689
PAK3,Etoposide,79,702,200,0.9824779071176591,2.837623568467694,PAK3_del x PIK3CA_mut,0.001453371,0.6612278167912244,0.3217936969106689
TIGIT,Etoposide,98,858,81,0.7494861493650492,1.8819008995114992,KIT_amp x TIGIT_amp,0.013124993605464628,0.8546653514366502,0.3217936969106689
TOP1,Etoposide,90,789,190,1.2513327456415668,3.3896741692619083,KMT2B_mut x TOP1_amp,0.000407686,0.5238661028117004,0.3217936969106689
ASNS,Etoposide,33,288,53,0.8772344745293874,2.0529388783188187,ASNS_amp x PHB2_amp,0.008852402,0.8199386383067152,0.3217936969106689
IRS2,Etoposide,38,339,84,1.0617406149448512,2.6578333456368357,IRS2_mut x PIK3CB_mut,0.002198703,0.6825476528549018,0.3217936969106689
CTNNB1,Etoposide,152,1341,222,0.84206148,2.2970708712094257,CTNNB1_del x SMAD2_del,0.00504579,0.7937259501518464,0.3217936969106689
CD274,Etoposide,98,858,176,1.0572488186959614,3.051726461958273,CD274_del x IRF1_amp,0.000887715,0.5893999099746506,0.3217936969106689
HDAC1,Etoposide,187,1638,137,0.8335290001424295,2.2742004939860854,HDAC1_mut x SMARCA1_del,0.005318627,0.7937259501518464,0.3217936969106689
DMD,Etoposide,79,702,297,1.0853759551774387,3.2327212177152242,DMD_del x GNAS_mut,0.000585166,0.5238661028117004,0.3217936969106689
CXCR4,Etoposide,98,858,35,1.475548973425087,2.7777233800967167,CXCR4_amp x SH2D1A_del,0.001668309,0.6655007926347383,0.3217936969106689
MDM4,Etoposide,51,304,85,1.0087617772067763,2.2770689954861365,E2F5_amp x MDM4_amp,0.005283613,0.7937259501518464,0.3217936969106689
ACTA2,Etoposide,79,702,52,0.741588592,1.7294437815316983,ACTA2_del x DMD_del,0.018644735146397255,0.8546653514366502,0.3217936969106689
ERBB2,Etoposide,66,594,72,0.8181557593981914,1.880693254038672,ERBB2_mut x JAK1_mut,0.013161541150462315,0.8546653514366502,0.3217936969106689
PDCD1LG2,Etoposide,98,858,174,1.0581526686057334,3.051726461958273,IRF1_amp x PDCD1LG2_del,0.000887715,0.5893999099746506,0.3217936969106689
SEC23B,Etoposide,14,126,33,0.8068915668482028,1.6784451521620471,NRAS_mut x SEC23B_amp,0.020967895709297624,0.8546653514366502,0.3217936969106689
RINT1,Etoposide,14,126,29,0.8372521904288084,1.8749957670879176,KRAS_amp x RINT1_amp,0.013335344295803443,0.8546653514366502,0.3217936969106689
FLT1,Etoposide,82,729,132,0.7107927168384154,1.6681208694352425,DMD_del x FLT1_mut,0.021472327899676638,0.8546653514366502,0.3217936969106689
PDGFRB,Etoposide,79,702,77,0.8325967215262671,1.9858830331421278,GNAS_amp x PDGFRB_mut,0.010330395928676201,0.8546653514366502,0.3217936969106689
SYK,Etoposide,143,1263,83,0.7893881652538804,2.278108691845341,SYK_del x TLR4_del,0.005270979,0.7937259501518464,0.3217936969106689
NSD2,Etoposide,33,194,34,1.0993237640434372,2.4432539537472153,DIS3_del x NSD2_del,0.003603679,0.7821635544279464,0.3217936969106689
SMC1A,Etoposide,90,789,243,0.8847829912794403,2.6535802024950974,SMC1A_del x XRCC1_del,0.002220342,0.6825476528549018,0.3217936969106689
RAD21,Etoposide,90,789,200,0.9441271852083252,2.663943014925894,RAD21_amp x WRN_amp,0.002167989,0.6825476528549018,0.3217936969106689
IFNAR1,Etoposide,52,468,26,0.781717876,1.7328316005295665,EGF_del x IFNAR1_del,0.018499858195258578,0.8546653514366502,0.3217936969106689
CBL,Etoposide,148,1317,228,1.313672032765739,3.5347819660892057,CBL_del x TP53_mut,0.000291889,0.4603676543699756,0.3217936969106689
HLA-DRB1,Etoposide,98,858,94,0.7512540319072173,1.8076199745360653,HGF_amp x HLA-DRB1_amp,0.015573277611505253,0.8546653514366502,0.3217936969106689
ABL2,Etoposide,79,702,144,1.7512166197240937,3.766362594422388,ABL2_amp x SOX17_amp,0.000171253,0.45082814867552196,0.3217936969106689
CDK5,Etoposide,45,396,82,1.1924211576439545,2.7560169582024594,CDK4_amp x CDK5_amp,0.001753812,0.6692207213856277,0.3217936969106689
SMARCA4,Etoposide,97,846,211,0.9534150086660999,2.660056251267316,SMARCA4_amp x WRN_amp,0.002187478,0.6825476528549018,0.3217936969106689
HLA-DQA1,Etoposide,98,858,99,0.7644046727136613,1.9612580954168632,HLA-DQA1_amp x PCBP1_amp,0.010933064357392606,0.8546653514366502,0.3217936969106689
RANBP2,Etoposide,93,816,189,0.8471365640700814,2.2621212821605057,RANBP2_mut x XPO1_amp,0.005468632,0.7937259501518464,0.3217936969106689
MAPK1,Etoposide,139,1233,144,0.8407472318457623,2.5084349986436063,MAPK1_del x TP53_mut,0.003101452,0.7280222745171013,0.3217936969106689
DICER1,Etoposide,8,72,13,0.7452550971173655,1.5088794969237436,DICER1_mut x FBXW7_mut,0.030982788550173817,0.8658667961037956,0.3217936969106689
INSR,Etoposide,27,240,34,0.7111957983349332,1.7472128340230701,EGFR_mut x INSR_mut,0.017897285495891622,0.8546653514366502,0.3217936969106689
HLA-DRB5,Etoposide,98,574,91,0.7460683323455568,1.9250453492439217,HLA-DRB5_amp x PCBP1_amp,0.011883781299277333,0.8546653514366502,0.3217936969106689
MAP2K2,Etoposide,58,516,37,1.506406401478998,3.030724720859493,MAP2K2_amp x TP53_mut,0.000931698,0.5893999099746506,0.3217936969106689
RAC1,Etoposide,90,801,179,1.8174599362420516,4.031970383884529,GNA13_mut x RAC1_amp,9.290297385263484e-05,0.3789461195307013,0.3217936969106689
STAT5B,Etoposide,57,513,46,0.8610337045876029,2.1122039607415837,IRS2_mut x STAT5B_mut,0.007723178,0.8189965521429037,0.3217936969106689
STAT3,Etoposide,63,561,50,0.7224233049048614,1.7689621021682653,MDM4_amp x STAT3_amp,0.017023070503039372,0.8546653514366502,0.3217936969106689
GSK3B,Etoposide,57,513,51,0.7992043160851942,1.7709182058114796,GSK3B_amp x PDGFRA_amp,0.016946569388261588,0.8546653514366502,0.3217936969106689
HLA-DPB1,Etoposide,98,858,60,0.7988343641208667,1.9185625207794097,CD79A_amp x HLA-DPB1_amp,0.012062504245919746,0.8546653514366502,0.3217936969106689
E2F1,Etoposide,130,1140,241,0.7298687501145551,2.507511986515205,E2F1_amp x KMT2B_mut,0.00310805,0.7280222745171013,0.3217936969106689
ACVR1B,Etoposide,24,213,15,1.0153368711316457,1.9642902480733437,ACVR1B_amp x IRS2_del,0.010856997852541687,0.8546653514366502,0.3217936969106689
CCND2,Etoposide,45,396,64,0.8844407452436389,2.2279224451528736,CCND2_amp x CDK6_amp,0.005916673,0.7937259501518464,0.3217936969106689
RASA1,Etoposide,52,468,50,0.7461520574631635,1.9183608427178656,RASA1_mut x SRC_amp,0.012068107,0.8546653514366502,0.3217936969106689
MAGI2,Etoposide,90,789,237,1.1659877857310132,3.311634927797675,ARID1A_mut x MAGI2_amp,0.000487938,0.5238661028117004,0.3217936969106689
SHQ1,Etoposide,33,288,44,0.8301215256799365,2.172523036740136,RHOA_amp x SHQ1_amp,0.006721667,0.7937259501518464,0.3217936969106689
SMARCA1,Etoposide,90,789,235,1.1159053881125052,3.233607318668468,SMARCA1_del x XPO1_amp,0.000583973,0.5238661028117004,0.3217936969106689
HLA-DQB2,Etoposide,98,858,70,0.7152691620453614,1.7360305758601984,CD79A_amp x HLA-DQB2_amp,0.018364090491359834,0.8546653514366502,0.3217936969106689
AR,Etoposide,38,336,115,0.8739493643252155,2.3248953338544935,AR_del x REL_amp,0.004732653,0.7937259501518464,0.3217936969106689
HLA-E,Etoposide,98,858,85,0.7604725268227627,1.9141242878303455,CD79A_amp x HLA-E_amp,0.012186407943656066,0.8546653514366502,0.3217936969106689
BRCA1,Etoposide,91,792,141,0.8576035682530111,2.2741332192326933,BRCA1_mut x POLD1_mut,0.005319451,0.7937259501518464,0.3217936969106689
TERT,Etoposide,167,1467,371,1.1107024988149747,3.295352450027449,TBL1XR1_amp x TERT_amp,0.000506579,0.5238661028117004,0.3217936969106689
JAK2,Etoposide,146,1290,301,1.375346427485242,3.5738389672066906,AKT1_amp x JAK2_amp,0.000266785,0.45082814867552196,0.3217936969106689
TAP1,Etoposide,104,912,67,0.7048673535190777,1.7360305758601984,CD79A_amp x TAP1_amp,0.018364090491359834,0.8546653514366502,0.3217936969106689
HLA-DOB,Etoposide,98,858,62,0.7158676381832334,1.7360305758601984,CD79A_amp x HLA-DOB_amp,0.018364090491359834,0.8546653514366502,0.3217936969106689
FOXL2,Etoposide,33,288,41,0.7327405558814855,1.7148674159603488,FOXL2_amp x XPC_del,0.019281134494570928,0.8546653514366502,0.3217936969106689
ENG,Etoposide,82,729,51,0.8034880190119764,1.7741425949351088,CBL_del x ENG_amp,0.016821217,0.8546653514366502,0.3217936969106689
CCNE1,Etoposide,64,564,75,0.6987612431151558,1.714848816792457,CCNE1_del x TERT_amp,0.019281960249333367,0.8546653514366502,0.3217936969106689
SH2B3,Etoposide,82,729,22,0.9537235363341124,2.0824664429332627,GPC3_del x SH2B3_mut,0.008270534,0.8199386383067152,0.3217936969106689
HLA-DMA,Etoposide,98,858,62,0.7131912870594578,1.7360305758601984,CD79A_amp x HLA-DMA_amp,0.018364090491359834,0.8546653514366502,0.3217936969106689
HLA-DMB,Etoposide,98,858,62,0.7131912870594578,1.7360305758601984,CD79A_amp x HLA-DMB_amp,0.018364090491359834,0.8546653514366502,0.3217936969106689
HLA-DOA,Etoposide,98,858,62,0.7131912870594578,1.7360305758601984,CD79A_amp x HLA-DOA_amp,0.018364090491359834,0.8546653514366502,0.3217936969106689
PRCC,Etoposide,90,789,164,0.957766498,2.4619815322495695,PRCC_amp x WRN_amp,0.003451584,0.7699441343637224,0.3217936969106689
INHBA,Etoposide,79,702,154,1.5094066426363986,3.6370351964146352,GNA13_mut x INHBA_amp,0.000230656,0.45082814867552196,0.3217936969106689
IL2RA,Etoposide,173,1527,200,0.7643105668918113,2.2492852647746706,HGF_amp x IL2RA_del,0.005632676,0.7937259501518464,0.3217936969106689
PREX2,Etoposide,90,801,219,0.7235681968701458,2.1590561706770863,FCGR2A_amp x PREX2_amp,0.006933361,0.7937259501518464,0.3217936969106689
XRCC2,Etoposide,44,393,83,0.9723309967411965,2.550195789,CDKN1B_amp x XRCC2_amp,0.002817113,0.7244266381857358,0.3217936969106689
STAG2,Etoposide,90,789,256,2.1325526717092114,4.524424961101778,STAG2_del x XPO1_amp,2.9893381104871954e-05,0.3789461195307013,0.3217936969106689
FOXO1,Etoposide,24,213,34,1.214026739225242,2.631360031034686,FOXO1_amp x SMAD4_del,0.002336899,0.6825476528549018,0.3217936969106689
DNMT3B,Etoposide,90,789,198,0.8583477961976205,2.738005481800963,DNMT3B_amp x KMT2B_mut,0.001828077,0.6757601408135513,0.3217936969106689
RAF1,Etoposide,65,579,68,0.7694995236418134,1.9742189629463545,CDC25A_amp x RAF1_amp,0.010611604055840721,0.8546653514366502,0.3217936969106689
PA2G4,Etoposide,46,405,24,0.7477498457828038,1.7772266680404885,PA2G4_amp x PHB2_amp,0.016702187,0.8546653514366502,0.3217936969106689
HSP90AA1,Etoposide,106,933,142,1.025633487093219,2.567470269764765,HSP90AA1_del x TP53_del,0.002707259,0.7244266381857358,0.3217936969106689
PARP1,Etoposide,136,1188,222,0.9080682818103907,2.6002806119242456,E2F5_amp x PARP1_amp,0.002510264,0.7155159563119621,0.3217936969106689
HLA-DQA2,Etoposide,98,858,64,0.7342657343458412,1.7867932799686994,CD79A_amp x HLA-DQA2_amp,0.016338294500734242,0.8546653514366502,0.3217936969106689
KMT2C,Etoposide,90,789,337,0.7217332188530261,2.0478302021648513,DDX3X_mut x KMT2C_mut,0.008957149,0.8199386383067152,0.3217936969106689
IRF2,Etoposide,96,843,142,0.7098422742078915,2.1414837011113854,IRF2_del x ZNF217_amp,0.007219653,0.7937259501518464,0.3217936969106689
SH2D1A,Etoposide,98,858,227,1.4031623645240183,3.5811743168925703,PCBP1_amp x SH2D1A_del,0.000262317,0.45082814867552196,0.3217936969106689
ING1,Etoposide,90,789,202,0.8107393261189306,2.5395492336949297,ING1_mut x KMT2B_mut,0.002887026,0.7280222745171013,0.3217936969106689
GATA3,Etoposide,190,1665,270,0.8081948538848156,2.1458332202901436,GATA3_del x MAGI2_amp,0.007147708,0.7937259501518464,0.3217936969106689
POLH,Etoposide,28,249,33,0.8073765345086972,1.8301026935777012,POLH_amp x TP53_mut,0.014787586785095735,0.8546653514366502,0.3217936969106689
CDKN1B,Etoposide,124,1104,171,1.0302482322350572,2.550195789,CDKN1B_amp x XRCC2_amp,0.002817113,0.7244266381857358,0.3217936969106689
FLT3,Etoposide,98,858,106,0.8463892720908079,2.554829490541334,BIRC3_amp x FLT3_del,0.002787215,0.7244266381857358,0.3217936969106689
MGA,Etoposide,17,153,38,0.7670137379395358,1.9798924428090914,MGA_del x TFDP1_del,0.010473879115875625,0.8546653514366502,0.3217936969106689
CYLD,Etoposide,98,858,81,0.7198915193384461,1.8658784563067763,CYLD_del x KLHL6_amp,0.013618258,0.8546653514366502,0.3217936969106689
ATRX,Etoposide,96,843,332,0.9750334447345463,3.1127409506823565,ATRX_del x XPO1_amp,0.000771363,0.5893999099746506,0.3217936969106689
CDK12,Etoposide,96,843,149,0.9561925438693681,2.7702885021318093,CDK12_mut x SETD2_mut,0.001697116,0.6655007926347383,0.3217936969106689
PHF6,Etoposide,90,789,212,0.842933928,2.657817571038958,PHF6_del x XPO1_amp,0.002198783,0.6825476528549018,0.3217936969106689
EGFR,Etoposide,164,1461,404,0.6983320153514145,2.1423147531809805,BCAR1_del x EGFR_amp,0.00720585,0.7937259501518464,0.3217936969106689
BTK,Etoposide,143,1263,352,0.9631577384528177,2.927031069988002,BTK_del x PCBP1_amp,0.001182957,0.622859599,0.3217936969106689
PBRM1,Etoposide,90,789,163,1.0066865996821925,2.926375352153053,PBRM1_del x TP53_mut,0.001184744,0.622859599,0.3217936969106689
TRAF2,Etoposide,11,99,10,1.5881575566370552,2.5721181463235645,TP53_mut x TRAF2_del,0.00267844,0.7244266381857358,0.3217936969106689
EPCAM,Etoposide,85,756,66,0.9657067582533349,2.3178737629253305,EPCAM_amp x PAK3_del,0.004809791,0.7937259501518464,0.3217936969106689
SETD2,Etoposide,16,144,37,1.2818780542270116,2.7702885021318093,CDK12_mut x SETD2_mut,0.001697116,0.6655007926347383,0.3217936969106689
ERBB3,Etoposide,60,537,50,0.81811623,2.1847840078306073,ERBB3_amp x KRAS_amp,0.006534555,0.7937259501518464,0.3217936969106689
BRCA2,Etoposide,65,573,166,0.8578875752194747,2.6150362445328263,BRCA2_del x MRE11_amp,0.002426408,0.7000481794937902,0.3217936969106689
EGF,Etoposide,142,1266,117,0.7577260972999921,2.1830438310760907,EGF_del x SETBP1_del,0.00656079,0.7937259501518464,0.3217936969106689
ARID2,Etoposide,90,789,146,1.1200632813455855,3.1032016471409647,ARID2_amp x KDM5A_amp,0.000788494,0.5893999099746506,0.3217936969106689
DIS3,Etoposide,33,288,54,0.9495783800240111,2.4432539537472153,DIS3_del x NSD2_del,0.003603679,0.7821635544279464,0.3217936969106689
SMC3,Etoposide,90,789,127,0.7871900922545283,2.367155940046852,KMT2D_mut x SMC3_mut,0.004293822,0.7937259501518464,0.3217936969106689
TAF1,Etoposide,94,819,279,0.7663598276748794,2.521946526544292,TAF1_del x XPO1_amp,0.003006446,0.7280222745171013,0.3217936969106689
NPM1,Etoposide,70,615,76,0.6998071852976887,2.1510804234143657,GSTP1_amp x NPM1_amp,0.007061868,0.7937259501518464,0.3217936969106689
KDM5A,Etoposide,95,834,219,1.0479022659738064,3.1032016471409647,ARID2_amp x KDM5A_amp,0.000788494,0.5893999099746506,0.3217936969106689
PRKDC,Etoposide,100,879,284,0.8684897825029965,2.7001087162784096,PRKDC_mut x XPO1_mut,0.001994763,0.6779878878767305,0.3217936969106689
CDH1,Etoposide,94,837,106,0.8411438202414351,2.411527552381086,CDH1_del x SOX2_amp,0.003876792,0.7937259501518464,0.3217936969106689
CD79B,Etoposide,98,858,115,0.7644934869829324,2.1890669447988618,CD79B_amp x IL7R_amp,0.006470429,0.7937259501518464,0.3217936969106689
MYC,Etoposide,176,1038,397,0.8558607082524063,2.5916423853652417,CDK6_amp x MYC_mut,0.002560694,0.7212010594448819,0.3217936969106689
ARID1B,Etoposide,90,789,194,0.9375573841749437,2.845481442158162,ARID1B_del x PRDM1_del,0.001427311,0.6612278167912244,0.3217936969106689
NCOR1,Etoposide,21,189,46,0.8047783264493407,2.207746690351312,HDAC2_del x NCOR1_del,0.006198025,0.7937259501518464,0.3217936969106689
PTPN22,Etoposide,98,858,99,0.7297646679382611,1.9230338105983116,PTPN22_mut x SH2D1A_del,0.011938951539836783,0.8546653514366502,0.3217936969106689
MRE11,Etoposide,28,168,46,1.1086069457159722,2.6150362445328263,BRCA2_del x MRE11_amp,0.002426408,0.7000481794937902,0.3217936969106689
MS4A1,Etoposide,109,951,81,1.4182368979935538,3.2299873137375545,HGF_amp x MS4A1_mut,0.000588861,0.5238661028117004,0.3217936969106689
BCL11B,Etoposide,90,789,166,0.8569447463243663,2.3807076267706226,BCL11B_del x TP53_del,0.004161907,0.7937259501518464,0.3217936969106689
HLA-G,Etoposide,98,858,104,0.7716795239072197,2.0801698135529176,CD79A_amp x HLA-G_amp,0.008314386,0.8199386383067152,0.3217936969106689
ARID1A,Etoposide,90,789,215,1.1247519336550102,3.311634927797675,ARID1A_mut x MAGI2_amp,0.000487938,0.5238661028117004,0.3217936969106689
FLG,Etoposide,7,63,27,0.7013749698892394,1.7436297320720247,EPCAM_amp x FLG_mut,0.018045556,0.8546653514366502,0.3217936969106689
CKS1B,Etoposide,64,564,115,0.7191900739849533,1.855530189707954,CKS1B_amp x WRN_amp,0.013946647,0.8546653514366502,0.3217936969106689
PTK2,Etoposide,52,468,114,0.7397230576704774,2.261941732966342,KRAS_mut x PTK2_mut,0.005470894,0.7937259501518464,0.3217936969106689
AURKB,Etoposide,58,498,71,1.0407945200167719,2.4755480407979062,AURKB_del x HDAC2_del,0.00334543,0.7684095645125232,0.3217936969106689
TFDP1,Etoposide,47,411,103,0.7718228193233592,2.144272324488927,BUB1B_del x TFDP1_del,0.007173443,0.7937259501518464,0.3217936969106689
HLA-F,Etoposide,98,858,87,0.9265957363599527,2.384343491323503,CD79A_amp x HLA-F_amp,0.004127209,0.7937259501518464,0.3217936969106689
CDC73,Etoposide,137,1200,223,0.807721699,2.3861529517262654,CDC73_amp x KMT2D_mut,0.004110049,0.7937259501518464,0.3217936969106689
TP63,Etoposide,28,246,56,0.7530876066513336,2.066262609282551,CREBBP_mut x TP63_amp,0.008584943,0.8199386383067152,0.3217936969106689
MCL1,Etoposide,12,70,20,1.450234272615649,2.7173617033313398,BCL2_amp x MCL1_amp,0.001917071,0.6779878878767305,0.3217936969106689
FCGR3A,Etoposide,98,858,140,1.6196808893023462,3.7263206293339133,FCGR3A_amp x LYN_amp,0.000187793,0.45082814867552196,0.3217936969106689
BARD1,Etoposide,147,1290,112,0.7040508946586018,1.8377726436120112,BARD1_mut x CREBBP_mut,0.01452872,0.8546653514366502,0.3217936969106689
IL6R,Etoposide,109,957,168,0.812332347,2.6381732056826253,IL6R_amp x LYN_amp,0.002300524,0.6825476528549018,0.3217936969106689
FCGR2A,Etoposide,173,1527,268,2.0637704492242475,4.2105825900381495,FCGR2A_amp x LYN_amp,6.157684169364796e-05,0.3789461195307013,0.3217936969106689
STAT6,Etoposide,57,513,38,0.983356969,2.3144298588509047,KRAS_amp x STAT6_amp,0.004848084,0.7937259501518464,0.3217936969106689
CCND1,Etoposide,94,819,135,0.8899330012920578,2.530276445383115,CCND1_amp x TGFBR2_del,0.002949331,0.7280222745171013,0.3217936969106689
IKBKE,Etoposide,98,858,124,0.9235810060098532,2.697658052093668,IKBKE_mut x P2RY8_del,0.002006051,0.6779878878767305,0.3217936969106689
PIK3CG,Etoposide,98,858,175,0.7942337236453242,2.4256886731187906,P2RY8_del x PIK3CG_mut,0.003752419,0.7926315073231589,0.3217936969106689
LMNA,Etoposide,79,702,129,0.8239272385990118,2.4263682687312387,LMNA_amp x SOX17_amp,0.003746552,0.7926315073231589,0.3217936969106689
KMT2A,Etoposide,94,825,289,0.9261002213469082,3.027755625637742,KMT2A_del x TP53_mut,0.00093809,0.5893999099746506,0.3217936969106689
GPS2,Etoposide,21,189,36,1.4419609147874524,2.9597494873506434,GPS2_del x HDAC2_del,0.001097111,0.622859599,0.3217936969106689
RAD51C,Etoposide,65,573,87,0.7362171985186285,1.9185786238172045,NBN_amp x RAD51C_amp,0.012062057,0.8546653514366502,0.3217936969106689
ELOC,Etoposide,20,114,29,0.7467182548662564,1.6782886123775111,ELOC_amp x VHL_amp,0.020975454869343168,0.8546653514366502,0.3217936969106689
U2AF1,Etoposide,99,864,102,0.7112563458669021,1.849598224943934,DKC1_del x U2AF1_del,0.014138449177746393,0.8546653514366502,0.3217936969106689
BCL7A,Etoposide,90,789,51,0.7107803900177453,1.9881457468993036,BCL7A_del x DDX3X_del,0.010276713592524236,0.8546653514366502,0.3217936969106689
IL10RA,Etoposide,98,858,133,0.7699107471028837,2.2047156727425072,IL10RA_del x TLR4_amp,0.006241433,0.7937259501518464,0.3217936969106689
HLA-A,Etoposide,190,1677,180,0.7523915155696143,2.178710382307406,CREBBP_mut x HLA-A_amp,0.006626583,0.7937259501518464,0.3217936969106689
TSC1,Etoposide,22,192,21,0.7207386615591593,1.7691406352476742,MAPK1_amp x TSC1_amp,0.017016073967911143,0.8546653514366502,0.3217936969106689
MSH2,Etoposide,55,486,53,0.8742802198698888,2.161933038688155,CDKN2B_del x MSH2_mut,0.006887585,0.7937259501518464,0.3217936969106689
CUL3,Etoposide,96,843,22,1.3411323348411133,2.642855573856469,CUL3_mut x DMD_del,0.002275854,0.6825476528549018,0.3217936969106689
CDC25A,Etoposide,22,192,27,0.7600995756867639,1.9742189629463545,CDC25A_amp x RAF1_amp,0.010611604055840721,0.8546653514366502,0.3217936969106689
BCAR1,Etoposide,52,468,49,0.7421471606713717,2.1423147531809805,BCAR1_del x EGFR_amp,0.00720585,0.7937259501518464,0.3217936969106689
BIRC3,Etoposide,113,990,185,0.7047949350646998,2.554829490541334,BIRC3_amp x FLT3_del,0.002787215,0.7244266381857358,0.3217936969106689
CYP3A5,Etoposide,17,150,26,1.0003409073607694,2.3278615376693788,CYP3A5_amp x FGF23_amp,0.004700439,0.7937259501518464,0.3217936969106689
IGF1,Etoposide,111,972,28,0.7770001052388267,2.0665575203598454,IGF1_amp x LAG3_amp,0.008579115,0.8199386383067152,0.3217936969106689
PTPRD,Etoposide,7,63,26,0.6958083043680172,1.5721261240046227,EPHA5_del x PTPRD_amp,0.026783903771569015,0.8658667961037956,0.3221680766829997
RHPN2,Etoposide,79,702,86,0.6952264705811517,1.7682493418267313,ADGRA2_amp x RHPN2_amp,0.017051031557327023,0.8546653514366502,0.3221680766829997
ARID5B,Etoposide,79,702,86,0.6937533667767498,1.9730046681867794,ARID5B_amp x GPC3_del,0.010641315799217866,0.8546653514366502,0.3223006177011028
GREM1,Etoposide,79,702,31,0.6917037994087568,1.5463403685046018,FLT1_del x GREM1_del,0.028422326985589483,0.8658667961037956,0.3228643410466881
MEN1,Etoposide,90,789,105,0.686668992,2.1956899390676132,MEN1_amp x TERT_amp,0.006372503,0.7937259501518464,0.3228992522551724
FANCA,Etoposide,28,249,53,0.6865323637155905,1.7736413711214505,FANCA_del x NBN_amp,0.016840641426027612,0.8546653514366502,0.3228992522551724
LATS1,Etoposide,79,702,85,0.6898794792075581,2.0646896443739893,LATS1_amp x VEGFA_amp,0.008616093,0.8199386383067152,0.3228992522551724
ETV5,Etoposide,20,168,27,0.6877668901303762,1.7971771130481007,ETV5_amp x HSP90AA1_del,0.015952285,0.8546653514366502,0.3228992522551724
DNMT3A,Etoposide,91,798,107,0.6850813389201668,1.6837455939876196,DNMT3A_amp x STAG2_del,0.020713544,0.8546653514366502,0.32303258817936603
FGF7,Etoposide,13,114,9,0.6778713411946332,1.169910217849369,FGF7_del x MYC_amp,0.067622276,0.9167071874350401,0.3234724218694586
SQSTM1,Etoposide,7,60,8,0.6759782313546391,1.2197255654979429,RICTOR_amp x SQSTM1_amp,0.060294046910436355,0.9119156814905425,0.3234724218694586
YEATS4,Etoposide,99,582,90,0.6782005960859177,1.666306785695547,PARP1_amp x YEATS4_amp,0.021562207163684944,0.8546653514366502,0.3234724218694586
CDKN2C,Etoposide,45,396,42,0.6788270350395743,1.6355602915433898,CCND2_amp x CDKN2C_amp,0.023144069,0.8552248716626133,0.3234724218694586
ATP7B,Etoposide,17,150,41,0.680243418,1.678881518214823,ATP7B_mut x TPMT_amp,0.020946838378050937,0.8546653514366502,0.3234724218694586
CASP8,Etoposide,120,1041,104,0.6766602164542678,1.7195419720766092,CASP8_mut x PRKDC_mut,0.019074713688886753,0.8546653514366502,0.3234724218694586
RAB35,Etoposide,14,126,9,0.6756910949119219,1.477859943465373,KRAS_amp x RAB35_amp,0.033276685,0.8658667961037956,0.3234724218694586
CIITA,Etoposide,98,858,65,0.6726938433306127,1.621475889836379,CIITA_mut x FCGR3A_amp,0.023906946527557746,0.8552248716626133,0.3238566522651517
EBF1,Etoposide,101,897,109,0.6735078649320471,1.9205274397651844,EBF1_amp x SMAD4_del,0.012008052008701633,0.8546653514366502,0.3238566522651517
