drug,gene,semi_partial_pearson,semi_partial_spearman,p_pearson,p_spearman,p_bonferroni_pearson,p_bonferroni_spearman,q_fdr_pearson,q_fdr_spearman,q_fdr_pearson_all,q_fdr_spearman_all
Erastin,PRDM1,0.0007761896456685072,-0.0657934652111372,0.9823633846987603,0.06389133884139753,1.0,1.0,0.9908154184119914,0.12233061676832913,0.988328225427898,0.09196254184054145
Erastin,PREX2,0.08519649321764118,0.1557487547045622,0.016384100516151356,1.1387294091447231e-05,1.0,0.008176077157659112,0.057105748400954726,0.0001297790025025256,0.04292046520132566,3.48412378877519e-05
Erastin,PRF1,-0.033950484234066575,-0.01863442491675143,0.3389953340619112,0.600115471419886,1.0,1.0,0.5326009843686045,0.6957497504935455,0.47178107017552634,0.6599355330891816
Erastin,PRKAR1A,-0.09722986049663998,-0.10258268195690681,0.006167390062203015,0.003858904360516613,1.0,1.0,0.027850226821772107,0.01357848338962074,0.019176554592544633,0.007346071579808028
Erastin,PRKCI,-0.16811699440470912,-0.17118879412030927,2.1835079808685265e-06,1.4180994372114952e-06,0.001567758730263602,0.0010181953959178536,7.46551776316001e-05,2.4834034046776916e-05,1.9216654507827605e-05,5.055169528760547e-06
Erastin,PRKCZ,0.026629137622581216,0.08690601431662853,0.45302021318331454,0.014311012325575634,1.0,1.0,0.6328181188047078,0.03669752446344038,0.5834412790414706,0.024103627759700867
Erastin,PRKDC,-0.043403963960313874,-0.045909123584750425,0.22153414464091137,0.19611576436401945,1.0,1.0,0.40268738190423886,0.2909320636639793,0.34280499106072065,0.2507022886884854
Erastin,PRPF40B,0.0004328309320756409,0.11687179779893718,0.9900797362612705,0.0009889748604017257,1.0,0.710083949768439,0.9916420183937267,0.0048305030596492455,0.9933077558950986,0.002102395114044231
Erastin,PRSS1,0.04837154980804687,0.12447528264391201,0.1729209446216715,0.00045170597347210517,1.0,0.3243248889529715,0.34015681709139767,0.002474865129063438,0.2836259011727245,0.0010258035496667523
Erastin,PRSS2,0.2149294240555161,0.20434323129358117,1.4054772901062051e-09,8.504255966101937e-09,1.0091326942962553e-06,6.106055783661191e-06,5.045663471481276e-07,5.316475888417216e-07,2.6382554099248504e-08,4.279945642753171e-08
Erastin,PRSS8,0.01227257043180939,0.0907953817851197,0.7293715273382455,0.010499089420140217,1.0,1.0,0.8407284312547135,0.02881734341895983,0.8141561855000309,0.01816833790799922
Erastin,PTCH1,0.030448318791877534,0.05247228490726051,0.39090538708119293,0.13908888812352904,1.0,1.0,0.5847182856547808,0.22045435247835288,0.5233940660592942,0.18502236530374033
Erastin,PTCH2,0.010762433868694387,0.08502963465203972,0.7615692163775658,0.016552780266213762,1.0,1.0,0.856119272005888,0.0407702048952388,0.8357763811373209,0.027452913570397853
