drug,system,drpt_importance_score,drpt_importance_p_bonferroni_pearson,crispr_best_fdr,include_cnb,include_tmb,n_system_genes,n_features_tested,n_pairs_candidate,n_pairs_tested,n_pairs_skipped_low_pair_count,n_pairs_skipped_sparse_combo,n_pairs_failed,fdr_threshold,n_epistasis_pairs_fdr,n_epistasis_pairs_fdr05,epistasis_score_fraction_fdr,epistasis_score_fraction_fdr05,epistasis_score_fraction_tested_fdr,epistasis_score_mean_neglog10p,epistasis_score_hmp_p,epistasis_score_hmp_neglog10p,epistasis_score_max_neglog10p,max_neglog10p_pair,max_neglog10p_gene_1,max_neglog10p_alteration_type_1,max_neglog10p_gene_2,max_neglog10p_alteration_type_2,max_neglog10p_alteration_1,max_neglog10p_alteration_2,max_neglog10p_epistasis_p,max_neglog10p_epistasis_fdr,median_abs_interaction_beta,mean_delta_r2,epistasis_score_hmp_fdr,epistasis_score_hmp_qvalue,epistasis_score_hmp_neglog10q,epistasis_score_hmp_fdr_n_systems
Bleomycin-a2,PI3-K/Akt,-0.0720028218856115,1.0,0.3299863839095544,True,True,6,18,135,23,112,0,0,0.1,0,0,0.0,0.0,0.0,0.4762258848933968,0.19787600723953472,0.7036068614538654,1.3553042239765485,IGF1R_mut x PTEN_mut,IGF1R,mut,PTEN,mut,IGF1R_mut,PTEN_mut,0.04412612348659376,0.42543362265110246,0.03294910208341455,0.0014758121885812534,0.26102792444364153,0.26102792444364153,0.583313029891329,124
Bleomycin-a2,Regulation of TP53 Activity,-0.1833957431920983,6.428288302728902e-05,0.0276113858999552,True,True,11,33,495,88,403,4,0,0.1,0,0,0.0,0.0,0.0,0.42595155566447845,0.19684237006295266,0.7058814145226071,2.0476335540138715,CHEK1_del x TP53_mut,CHEK1,del,TP53,mut,CHEK1_del,TP53_mut,0.008961205690406296,0.7885861007557541,0.034074751756871115,0.0012291611508595422,0.26102792444364153,0.26102792444364153,0.583313029891329,124
Bleomycin-a2,Cell Proliferation,-0.1727151181946618,0.0002842554103117,0.3303462570342721,True,True,14,41,780,101,672,7,0,0.1,0,0,0.0,0.0,0.0,0.4117535073752005,0.21370075743660258,0.6701939385287059,1.895762009915544,EGF_del x TP53_del,EGF,del,TP53,del,EGF_del,TP53_del,0.012712705609970135,0.9063307742208409,0.030797454053079806,0.0011996883467245282,0.27893572549619705,0.27893572549619705,0.5544958586553186,124
Bleomycin-a2,NeST:16,0.0034190074606046,1.0,0.5752170125297349,True,True,22,64,1954,283,1667,4,0,0.1,0,0,0.0,0.0,0.0,0.41282301513372616,0.21644599054184402,0.6646504546726324,1.7652446847317191,FCGR2A_amp x FLT4_amp,FCGR2A,amp,FLT4,amp,FCGR2A_amp,FLT4_amp,0.017169407774375436,0.9270458815606425,0.030753454007947708,0.0012101731267218016,0.27957607111654853,0.27957607111654853,0.5535000025499657,124
Bleomycin-a2,Histone acetyltransferase complex,0.0062385665936054,1.0,0.2238981792111812,True,True,14,40,742,112,628,2,0,0.1,0,0,0.0,0.0,0.0,0.431560949503253,0.21896544119147696,0.6596244234437838,1.7380760418281997,MYC_amp x MYCN_amp,MYC,amp,MYCN,amp,MYC_amp,MYCN_amp,0.018277801570145153,0.7956339422701845,0.02900819248937264,0.0012713232725244561,0.2799145846159087,0.2799145846159087,0.5529744725477936,124
Bleomycin-a2,Nuclear transport,-0.0307826681551867,1.0,0.4252962504076479,True,True,7,21,189,30,159,0,0,0.1,0,0,0.0,0.0,0.0,0.4059831167284207,0.22676895534209304,0.6444164006012555,1.5188469534616,GATA3_amp x XPO1_amp,GATA3,amp,XPO1,amp,GATA3_amp,XPO1_amp,0.030279803084737104,0.6031288855276772,0.0268035947636103,0.0012169375491477934,0.2840338430547428,0.2840338430547428,0.5466299100365705,124
Bleomycin-a2,NeST:29,0.1185309782213763,0.1498677890787754,0.3573601871458207,True,True,14,40,742,73,669,0,0,0.1,0,0,0.0,0.0,0.0,0.3407510377001539,0.22663745968756593,0.6446683063390813,2.1378346289805545,ADGRA2_del x ENG_amp,ADGRA2,del,ENG,amp,ADGRA2_del,ENG_amp,0.007280569819137477,0.5314815967970359,0.02973989137278182,0.0009094504015978702,0.2840338430547428,0.2840338430547428,0.5466299100365705,124
Bleomycin-a2,Extracellular matrix organization,0.0426588810424846,1.0,0.4179639351006795,True,True,13,39,702,95,607,0,0,0.1,0,0,0.0,0.0,0.0,0.3919483890761322,0.2344015690217838,0.6300394855924194,1.9301529133817197,DMD_mut x PDGFRB_mut,DMD,mut,PDGFRB,mut,DMD_mut,PDGFRB_mut,0.01174483950942389,0.937002039916227,0.03260881450823665,0.0011079514290541442,0.28778014414555636,0.28778014414555636,0.5409391742128269,124
Bleomycin-a2,ECM-cytoskeleton assembly,0.1137525515475157,0.2357924304353591,0.5685447261285611,True,True,6,18,135,12,123,0,0,0.1,0,0,0.0,0.0,0.0,0.37220832213102223,0.23382264143636042,0.6311134376789564,1.414115776912492,ACTA2_del x FGF10_amp,ACTA2,del,FGF10,amp,ACTA2_del,FGF10_amp,0.038537560815439756,0.46245072978527707,0.019329698860673903,0.0010977359192307818,0.28778014414555636,0.28778014414555636,0.5409391742128269,124
Bleomycin-a2,Endoplasmic Reticulum protein processing,-0.0502339883579223,1.0,0.4509829392592724,True,True,6,18,135,32,103,0,0,0.1,0,0,0.0,0.0,0.0,0.36676713285320406,0.24116358557821937,0.6176882677439093,1.7403468123485424,ARFRP1_amp x TUSC3_mut,ARFRP1,amp,TUSC3,mut,ARFRP1_amp,TUSC3_mut,0.018182482893586923,0.5818394525947815,0.025026722874530893,0.0010213122047116503,0.2931792608990118,0.2931792608990118,0.5328667543435918,124
