drug,system,semi_partial_pearson,semi_partial_spearman,p_pearson,p_spearman,p_bonferroni_pearson,p_bonferroni_spearman,q_fdr_pearson,q_fdr_spearman,q_fdr_pearson_all,q_fdr_spearman_all
Bleomycin-a2,Ribosome abundance control,0.030175240125837045,0.03740204918901869,0.4072608775444162,0.3041168643419936,1.0,1.0,0.5129920669069089,0.4377946069099029,0.5226237546937325,0.42009816409983647
Bleomycin-a2,Epigenetic modification,0.2101471021974918,0.24779588761086838,8.133239193242048e-09,1.0470069256030001e-11,1.0654543343147083e-06,1.3715790725399302e-09,2.1309086686294166e-07,4.571930241799767e-10,1.5220776204495833e-07,2.612531566742724e-10
Bleomycin-a2,Spliceosomal complex,-0.10100262782438459,-0.09886601817649038,0.0056104508864274205,0.006709533431374037,0.7349690661219921,0.8789488795099989,0.0180566128678185,0.018701039989574446,0.016302456180155096,0.017520575671295658
Bleomycin-a2,Interferon signaling,0.11637292139741989,0.1095457753016602,0.001406664619898912,0.002638929585507155,0.18427306520675746,0.3456997757014373,0.006298918597310266,0.009877136448612494,0.005166534538507218,0.007860161623371508
Bleomycin-a2,Transmembrane tyrosine kinase signaling,0.0004954116671682618,0.029281997206599325,0.9883889946479822,0.42089591798957793,1.0,1.0,0.9883889946479824,0.5405624044768109,0.9915427565964442,0.5301669736214876
Bleomycin-a2,Regulation of mRNA processing,0.08000005003964872,-0.007475135731600624,0.028127239582820485,0.8386819954697242,1.0,1.0,0.06699397064271788,0.9079945570787923,0.063410098284849,0.8888194753352905
Bleomycin-a2,Nucleus,0.11237147772888349,0.1160655111736377,0.0020457198121686115,0.0014434914518024478,0.2679892953940881,0.18909738018612066,0.00765683701125966,0.0060999154898748595,0.00703691804098262,0.0046215245666669
Bleomycin-a2,Actin filaments,-0.08473019128490702,0.02456441558585165,0.02016100614693883,0.4993968699958775,1.0,1.0,0.05079022702401898,0.6063711275388555,0.048019851004527034,0.6051815001694502
Bleomycin-a2,Transcription elongation,-0.045995884899746875,-0.04095731186309271,0.20738572829559754,0.2617870339075634,1.0,1.0,0.31227046444509515,0.38970569820330464,0.31896817170493524,0.372087899912016
Bleomycin-a2,Type I interferon signaling pathway,0.050236822301645515,0.03993336821876511,0.16787977542208887,0.2726008370049078,1.0,1.0,0.27250945562138296,0.40124392862520136,0.27291314060343713,0.38398612524347225
Bleomycin-a2,Nuclear transport,-0.030782668155186765,-0.057673177159788834,0.3989707222588277,0.1139273822616167,1.0,1.0,0.5124035746657493,0.19899316101695716,0.5158289484563364,0.1885198367529068
Bleomycin-a2,Mediator/CCR-NOT complex,0.005512981083479262,0.0017772254212198933,0.8790342011400933,0.9599129646692841,1.0,1.0,0.9067203177114348,0.9932944506386527,0.9181672851775593,0.9782430446978844
Bleomycin-a2,Apoptosis Regulation,-0.03438859497927908,0.00025151383854502414,0.3459991854139619,0.9932944506386527,1.0,1.0,0.4532589328922901,0.9932944506386527,0.46358021466139854,0.9971001765031686
Bleomycin-a2,Actin cytoskeleton,-0.08635144697213125,0.008595715334596759,0.017893632346919208,0.8124000387132775,1.0,1.0,0.04596207524404738,0.8868700422619946,0.04341948632710965,0.86995426488915
