drug,system,drpt_importance_score,drpt_importance_p_bonferroni_pearson,crispr_best_fdr,include_cnb,include_tmb,n_system_genes,n_features_tested,n_pairs_candidate,n_pairs_tested,n_pairs_skipped_low_pair_count,n_pairs_skipped_sparse_combo,n_pairs_failed,fdr_threshold,n_epistasis_pairs_fdr,n_epistasis_pairs_fdr05,epistasis_score_fraction_fdr,epistasis_score_fraction_fdr05,epistasis_score_fraction_tested_fdr,epistasis_score_mean_neglog10p,epistasis_score_max_neglog10p,median_abs_interaction_beta,mean_delta_r2
Doxorubicin,Extended mismatch repair complex,0.0207146611463654,1.0,3.910409287382977e-06,True,True,10,30,405,202,200,3,0,0.1,0,0,0.0,0.0,0.0,0.4966283118184114,2.566296398404564,0.05242017372439815,0.0014208618906081626
Doxorubicin,TGF-beta/Smad signaling,-0.0311124267813244,1.0,0.1243792246696636,True,True,7,21,189,99,89,1,0,0.1,0,0,0.0,0.0,0.0,0.4932669019260925,2.008393358413516,0.05755452508060507,0.0013678566690371091
Doxorubicin,Extracellular matrix,0.0819821273796581,1.0,0.6359117233215493,True,True,8,24,252,80,172,0,0,0.1,0,0,0.0,0.0,0.0,0.49295597732733293,2.153387261531651,0.054152802095127926,0.0013561571400260166
Doxorubicin,Integrator-PP2A complex,0.0484602431948944,1.0,0.0884077109441659,True,True,12,35,561,271,289,1,0,0.1,0,0,0.0,0.0,0.0,0.487097038272032,2.8690140294799007,0.04193669913763087,0.0013748789637733016
Doxorubicin,NeST:29,0.1552720737492819,0.0012582701465957,0.3573601871458207,True,True,14,40,742,352,390,0,0,0.1,0,0,0.0,0.0,0.0,0.4794107517249026,3.0667543712078937,0.053349017330217366,0.0013245861461005431
Doxorubicin,MutL alpha/beta complex,0.0533361447391493,1.0,0.0070251898825775,True,True,5,15,90,52,38,0,0,0.1,0,0,0.0,0.0,0.0,0.47414029949949693,2.2210606713508185,0.06113540635779273,0.0012703345230157472
Doxorubicin,INSR-FOXO,-0.0248200171886096,1.0,0.2063319675739919,True,True,25,75,2700,1325,1375,0,0,0.1,0,0,0.0,0.0,0.0,0.47368890932173413,3.8919593447759966,0.04818480438007261,0.0013250774015277679
Doxorubicin,Structural constituent of muscle,0.0752963158981698,1.0,0.5510547531634511,True,True,6,18,135,52,83,0,0,0.1,0,0,0.0,0.0,0.0,0.4733189075699518,2.670812863496556,0.05438622988493141,0.0013718176238697482
Doxorubicin,Apoptosis Regulation,-0.0570483442616424,1.0,0.5504544526135874,True,True,13,37,631,297,332,2,0,0.1,0,0,0.0,0.0,0.0,0.47331278511540426,3.0792759365621474,0.047798292472703646,0.0012944931550859715
Doxorubicin,Cell-extracellular matrix interactions,0.1129932144114869,0.1674648640859282,0.7646694293837846,True,True,5,15,90,33,57,0,0,0.1,0,0,0.0,0.0,0.0,0.4716703496576098,1.7887476451382918,0.05495872845157084,0.0012690545636919433
Doxorubicin,Actin cytoskeleton,0.0391994463088861,1.0,0.3192861186129078,True,True,5,15,90,33,57,0,0,0.1,0,0,0.0,0.0,0.0,0.469229907520314,2.26467301451949,0.05523502001818512,0.0012992616079082618
Doxorubicin,Nuclear pore,0.0297694612569424,1.0,0.4252962504076479,True,True,5,15,90,45,45,0,0,0.1,0,0,0.0,0.0,0.0,0.46856070715002035,2.1640528845549745,0.043992711059746004,0.0013150368597235026
Doxorubicin,p53 regulation,-0.1787654317454986,4.5622462161887256e-05,0.1659952132594053,True,True,11,29,379,208,170,1,0,0.1,0,0,0.0,0.0,0.0,0.46758448764598126,2.522684112332939,0.044554529612347,0.001311842791944057
Doxorubicin,MDM2-p53 pathway,-0.1298817773826527,0.0280306652501201,0.2076422703644157,True,True,8,23,231,146,84,1,0,0.1,0,0,0.0,0.0,0.0,0.4650236660761306,3.004034615164488,0.043900290358212406,0.0012794890256762035
Doxorubicin,Immune system,-0.0973859221295767,0.7216236583707267,0.9117647058823538,True,True,99,289,41333,17278,23884,171,0,0.1,0,0,0.0,0.0,0.0,0.4617809296221606,4.811178364352045,0.0487231074245749,0.0012722633690317759
Doxorubicin,ECM-cytoskeleton assembly,0.0636698326945944,1.0,0.5685447261285611,True,True,6,18,135,47,88,0,0,0.1,0,0,0.0,0.0,0.0,0.4615552288141508,1.5785583916789048,0.05418653789943202,0.0012127305124296306
Doxorubicin,Beta-catenin,0.0376053804912993,1.0,0.0983633828620763,True,True,5,14,78,44,34,0,0,0.1,0,0,0.0,0.0,0.0,0.46076061338275026,1.4417292860110469,0.041075924722324623,0.0012924996162787124
Doxorubicin,Histone deacetylase binding,-0.1869187044083853,1.303309296507571e-05,0.0907267725323704,True,True,16,48,1080,625,455,0,0,0.1,0,0,0.0,0.0,0.0,0.4603659503741797,2.753349138653786,0.04977623423513008,0.001241242262850812
Doxorubicin,TNFR/Traf signaling,0.0728374697946424,1.0,0.4105202351845146,True,True,12,36,594,295,298,1,0,0.1,0,0,0.0,0.0,0.0,0.4566545337458278,2.553228539289962,0.048869338114473505,0.001240152521842523
Doxorubicin,Locomotion,-0.1040531889657768,0.3955849202080592,0.3968348686560592,True,True,33,99,4752,2263,2488,1,0,0.1,0,0,0.0,0.0,0.0,0.45323710243564935,3.235847254492606,0.04636816294910286,0.0012403736704643185
Doxorubicin,Homologous recombination,0.0335090034944283,1.0,0.0002506369315357,True,True,12,36,594,352,238,4,0,0.1,0,0,0.0,0.0,0.0,0.4530745104368652,2.761606443032247,0.04763413135630058,0.0012413401168439725
Doxorubicin,Histone acetyltransferase complex,0.0458993941356816,1.0,0.2238981792111812,True,True,14,40,742,346,396,0,0,0.1,0,0,0.0,0.0,0.0,0.45227440527055124,3.1986206418445873,0.04397101309633898,0.0012542573961779756
Doxorubicin,NeST:78,0.114563037319461,0.1431250653890472,0.1245016689428807,True,True,10,30,405,256,149,0,0,0.1,0,0,0.0,0.0,0.0,0.45111805528826127,3.2813782491988976,0.04454501355170924,0.001224170495939298
Doxorubicin,PIK3/AKT signaling,0.0093548889383287,1.0,0.4718099527574322,True,True,11,33,495,257,238,0,0,0.1,0,0,0.0,0.0,0.0,0.4501485920462019,3.0872727483214852,0.042950659303869515,0.001243681799801178
Doxorubicin,HDACs deacetylate histones,-0.0949369004146507,0.8924233614480297,0.4798507484011406,True,True,16,48,1080,592,488,0,0,0.1,0,0,0.0,0.0,0.0,0.45005344699073724,2.402231669418087,0.04588835308874576,0.0012177789270060863
Doxorubicin,Cell motility,-0.0438661616586031,1.0,0.5449580119289595,True,True,80,237,27732,13333,14391,8,0,0.1,0,0,0.0,0.0,0.0,0.4482605359075247,4.800647314508066,0.04749818926872546,0.0012178984153470187
Doxorubicin,Ubiquitin regulation of mitophagy,0.0280572769232952,1.0,0.00130131094644,True,True,8,20,173,90,83,0,0,0.1,0,0,0.0,0.0,0.0,0.44716346656909894,1.9866630145148727,0.0426469198919073,0.001250340153292563
Doxorubicin,CDK holoenzyme complex I,-0.1151139601908664,0.1355111347986695,0.0621128841439947,True,True,15,44,903,399,499,5,0,0.1,0,0,0.0,0.0,0.0,0.44707152730005056,2.7500169509712507,0.04188578664001828,0.0011997438365974557
Doxorubicin,Polybromo- and BAF containing complex,0.0901019270041041,1.0,0.0077044295167021,True,True,12,35,561,319,242,0,0,0.1,0,0,0.0,0.0,0.0,0.4465589540591709,2.543922529180053,0.04817875194617815,0.0012095983329898443
Doxorubicin,Spliceosomal complex,0.0459670325269816,1.0,0.1342473931628925,True,True,6,18,135,59,75,1,0,0.1,0,0,0.0,0.0,0.0,0.44650732124514103,2.132674687731238,0.03572372104072112,0.0012362998583743678
Doxorubicin,Ubiquitin/Proteasome System,-0.1263581753444847,0.0414489275067857,0.0495412667941284,True,True,21,59,1655,712,941,2,0,0.1,0,0,0.0,0.0,0.0,0.44568909302622195,3.7610916332838245,0.04260912128844975,0.001231943046462481
Doxorubicin,Transmembrane tyrosine kinase signaling,-0.0250425949284835,1.0,0.4469172987608541,True,True,53,159,12402,6306,6078,18,0,0.1,0,0,0.0,0.0,0.0,0.44505434582854186,3.583454183168573,0.04772635767183013,0.0012100970526527555
Doxorubicin,Epigenetic modification,0.0312627120736825,1.0,0.0792161871276002,True,True,30,87,3656,2015,1639,2,0,0.1,0,0,0.0,0.0,0.0,0.44268784593504135,3.428370189069476,0.04388802416878026,0.0011863931189016587
Doxorubicin,Nuclear transport,0.0098668022797299,1.0,0.4252962504076479,True,True,7,21,189,97,92,0,0,0.1,0,0,0.0,0.0,0.0,0.44180041164802564,2.4061447860140595,0.04384167793175279,0.0012187357273494006
Doxorubicin,Nucleolus,-0.1696536694153224,0.0001739430398046,0.0104866919927151,True,True,34,100,4852,2017,2831,4,0,0.1,0,0,0.0,0.0,0.0,0.4414687422220206,2.9286431662969266,0.04662750820976076,0.0011929779116062742
Doxorubicin,Protein nuclear transport,0.0856981909826777,1.0,0.5511410188764981,True,True,6,18,135,67,68,0,0,0.1,0,0,0.0,0.0,0.0,0.4406407750879537,2.1640528845549745,0.043619197852407296,0.0012161609617481572
Doxorubicin,Cyclin D associated events in G1,-0.0344001744927674,1.0,0.1231258710826568,True,True,27,79,3004,1379,1618,7,0,0.1,0,0,0.0,0.0,0.0,0.4398379854035124,3.691529047856235,0.042566834881555556,0.0011750761682817973
Doxorubicin,Regulation of beta catenin transcription,-0.0305469050541676,1.0,0.2823705488824322,True,True,7,21,189,117,72,0,0,0.1,0,0,0.0,0.0,0.0,0.4373321958806363,1.9375819197276483,0.05015564585263715,0.0011554919268382225
Doxorubicin,Phosphatase 2A catalytic subunit,0.0423427354612946,1.0,0.1419081585656429,True,True,5,15,90,38,51,1,0,0.1,0,0,0.0,0.0,0.0,0.4361853661488211,2.095537778829197,0.03996812461323127,0.00115713211551453
Doxorubicin,RTK-JAK-STAT signaling,0.0224460458420359,1.0,0.6283919550645795,True,True,21,63,1890,991,897,2,0,0.1,0,0,0.0,0.0,0.0,0.4356293516995423,3.583454183168573,0.04990545857736584,0.0011830583497247915
Doxorubicin,G1 to S cell cycle control,-0.0452810335685663,1.0,0.0983633828620763,True,True,13,38,666,285,377,4,0,0.1,0,0,0.0,0.0,0.0,0.43492288330669543,2.518531978313301,0.04215972297397433,0.0011616773540242423
Doxorubicin,MAPK and MAP2K activation,-0.075447834600204,1.0,0.4532661611824812,True,True,14,41,780,372,406,2,0,0.1,0,0,0.0,0.0,0.0,0.43476634768571604,2.815783066247875,0.044843569807035535,0.0011801909260270827
Doxorubicin,Wnt/beta-catenin,0.1014997586109431,0.4995624226315807,0.320352496750682,True,True,8,24,252,120,132,0,0,0.1,0,0,0.0,0.0,0.0,0.4343759796887329,2.067987562080954,0.048996223131210326,0.0011556942027229169
