drug,gene,semi_partial_pearson,semi_partial_spearman,p_pearson,p_spearman,p_bonferroni_pearson,p_bonferroni_spearman,q_fdr_pearson,q_fdr_spearman,q_fdr_pearson_all,q_fdr_spearman_all
CD437,BUB1B,0.06535162195792638,0.0680136001500323,0.06741883751395239,0.05702202113090071,1.0,1.0,0.10962170280561885,0.098893263700451,0.14428234078991897,0.09903280267362237
CD437,C11orf65,-0.19160420622977378,-0.10484511546632559,8.22041725800915e-08,0.0033453596704970945,5.902259591250569e-05,1.0,6.707113171875647e-07,0.008702783490640992,9.068772739437495e-07,0.008403387440525647
CD437,C3orf70,-0.1486825925364553,-0.07738206042372217,3.1681514119252796e-05,0.03034449091336855,0.022747327137623508,1.0,0.0001249853139429863,0.058254931753472246,0.00019708875498301956,0.05754966623587573
CD437,C8orf34,0.08906884646449371,0.1250336133870089,0.012680615583091637,0.00046740595683614217,1.0,0.3355974770083501,0.02593926492495668,0.00151170034688446,0.037174611726409505,0.0014575351878755704
CD437,CADM2,-0.15882201503442422,-0.09347180891124379,8.797805479021648e-06,0.008901481630065655,0.006316824333937543,1.0,4.101833983076327e-05,0.019972699407459816,6.295838206582268e-05,0.020030077232866463
CD437,CALR,0.1695251405919699,0.1348700811583446,2.09287788432988e-06,0.00016062970199071103,0.001502686320948854,0.11533212602933052,1.1470887946174457e-05,0.0005914468001504129,1.7338688318640623e-05,0.0005560407843921118
CD437,CARD11,-0.00043389331619080057,-0.014032137870950393,0.9902792583040172,0.6944671285901167,1.0,1.0,0.9958270412637037,0.7742661464715898,0.995245584671009,0.7681038228411355
CD437,CASP8,0.15480787507646412,0.21201885723414662,1.4751315043026736e-05,2.9755811148390876e-09,0.010591444200893196,2.136467240454465e-06,6.578536770741116e-05,4.031070265008424e-08,0.00010047219795313705,2.6678050869358564e-08
CD437,CASR,0.023857783236128718,0.12610383386105936,0.5043655592990561,0.0004175734622446914,1.0,0.2998177458916884,0.6035574526278705,0.001362807935871311,0.6488896011528548,0.0013212680685641795
CD437,CBFB,-0.24644190788455428,-0.1472437270721971,5.3150817080904744e-12,3.779669780823447e-05,3.816228666408961e-09,0.02713802902631235,2.2448403920052708e-10,0.00017175967738172372,1.4630908625210073e-10,0.00015076682792395749
CD437,CBL,0.15383142334178915,0.18653422909495398,1.6695351488182908e-05,1.791300658915418e-07,0.011987262368515328,0.000128615387310127,7.354148692340692e-05,1.6280428773433799e-06,0.00011220526397986267,1.1517795878518836e-06
CD437,CBLB,0.05004925885649673,0.08123358401560653,0.1613265447972294,0.023021007191929455,1.0,1.0,0.23447866227613506,0.0459141198994593,0.28624166185603966,0.04557651607666916
CD437,CBLC,-0.12030140517223202,-0.07545205664314639,0.0007605623377120452,0.03472457046216859,0.5460837584772484,1.0,0.0021669990415763827,0.06475906906970662,0.003260201543147752,0.06468905926530694
CD437,CBR3,0.09890783550029282,0.11143162764206184,0.005640725419981507,0.0018199732676165148,1.0,1.0,0.013064647908215233,0.005229916787834284,0.01867812844679503,0.004926449787553846
CD437,CCDC6,0.00957400062682135,-0.016949407759408522,0.7887803836783771,0.6351889804401178,1.0,1.0,0.8525024623289958,0.7227665419271072,0.8704931883930119,0.7185908948886628
CD437,CCND1,-0.15011972304661023,-0.14899006036021645,2.6544601161582193e-05,3.05375662017493e-05,0.019059023634016015,0.021925972532855997,0.00010828990701145462,0.00014583136371064647,0.00016853963419910994,0.00012457938939122726
CD437,CCND2,0.049870171596644204,0.21153249261001625,0.16283133718258913,3.2325684351519612e-09,1.0,2.320984136439108e-06,0.23618767696383636,4.1786649394661065e-08,0.28831787940098397,2.874283760296109e-08
CD437,CCND3,0.07262142112403071,0.2299476424984347,0.04212104564487662,1.2375545033194157e-10,1.0,8.885641333833405e-08,0.07394354712230175,2.689564871470024e-09,0.09916117717330049,1.3901916037288248e-09
CD437,CCNE1,-0.02334341170587273,0.007309609310734553,0.5135481695199327,0.8380248126988481,1.0,1.0,0.610476135290251,0.8879075668546766,0.6575614546862445,0.8851589872543633
CD437,CCNE2,0.1070932619016065,0.1831946212627123,0.0027261354710730323,2.954423954371066e-07,1.0,0.00021212763992384254,0.006892131226163512,2.495619293221677e-06,0.009995056688836275,1.818236913632936e-06
CD437,CD19,-0.0006202837925463879,0.003746292604657947,0.9861177354588555,0.9166091844629858,1.0,1.0,0.9930330070960144,0.9428730579433006,0.9930684142168813,0.9410753972036565
CD437,CD22,-0.019829511658645854,-0.01905469729098427,0.5789057312839554,0.5937914442689685,1.0,1.0,0.6639845288528434,0.6876488015889022,0.7113308301116029,0.6839715352702449
CD437,CD274,-0.037229196185905825,-0.040786235727334155,0.29744573968860566,0.25367091685996535,1.0,1.0,0.396226421329163,0.3423603727546149,0.44945501458383486,0.34753197959380844
CD437,CD276,0.06794181725762656,0.09507451008798522,0.05725485698683119,0.007804651827606701,1.0,1.0,0.09582514526001118,0.01773335446905573,0.12690827881172673,0.017803780817225136
CD437,CD40,-0.27819981710616526,-0.27735477280327214,6.8833827526759706e-15,8.43769498715119e-15,4.942268816421347e-12,6.058265000774554e-12,1.6474229388071156e-12,1.2116530001549109e-12,3.5093033016009563e-13,1.637368919128258e-13
CD437,CD70,0.16909488892081412,0.14914984178141524,2.22097428759227e-06,2.997805138926779e-05,0.0015946595384912499,0.021524240897494273,1.1993413497880498e-05,0.0001444579926006327,1.8212643142357063e-05,0.00012247078746796173
