gene,D_used,p_hmp,p_bonf_hmp,is_sig_hmp_bonf,small_systems,num_small_systems,important_systems_matched,num_important_systems_matched,sig_drugs,n_sig_drugs,is_important
SETBP1,12,2.9335124878196832e-08,2.1062619662545325e-05,True,Cell motility;NeST:16,2,NeST:16,1,Etoposide,1,True
PA2G4,12,2.948038952442348e-08,2.116691967853606e-05,True,Nucleolus;RNA processing 1;Ribosome biogenesis,3,RNA processing 1,1,CD437,1,True
PTPN13,12,4.665585111207064e-08,3.349890109846672e-05,True,Apoptosis Regulation,1,Apoptosis Regulation,1,Gemcitabine,1,True
PDPK1,12,4.990551478569424e-08,3.583215961612846e-05,True,PI3-K/Akt;PIK3/AKT signaling,2,PI3-K/Akt;PIK3/AKT signaling,2,Olaparib,1,True
ZRSR2,12,5.351066900887613e-08,3.8420660348373064e-05,True,Chromatin binding;RNA metabolism;RNA processing 1;RNA processing 2;Spliceosomal complex,5,Chromatin binding;RNA processing 1,2,CD437,1,True
CUL3,12,5.6697441235031976e-08,4.070876280675296e-05,True,Cell motility;Culin-RIng uniqutin ligase complex;Ubiquitin regulation of mitophagy;Ubiquitin regulation of p53 activity;Ubiquitin/Proteasome System,5,Culin-RIng uniqutin ligase complex;Ubiquitin regulation of mitophagy;Ubiquitin regulation of p53 activity,3,Doxorubicin,1,True
GSK3B,12,6.653902558449638e-08,4.77750203696684e-05,True,Beta-catenin destruction complex;Transmembrane tyrosine kinase signaling;Wnt/beta-catenin,3,Transmembrane tyrosine kinase signaling,1,Methotrexate,1,True
RAB35,12,7.245945457752341e-08,5.202588838666181e-05,True,Protein Transport,1,Protein Transport,1,Doxorubicin,1,True
INSR,12,8.639521191485419e-08,6.20317621548653e-05,True,INSR-FOXO;PI3-K/Akt,2,INSR-FOXO;PI3-K/Akt,2,Olaparib,1,True
PHF6,12,8.737375326472392e-08,6.273435484407178e-05,True,Chromatin binding;Epigenetic modification,2,Chromatin binding;Epigenetic modification,2,CD437,1,True
FLT4,12,9.610416453284045e-08,6.900279013457944e-05,True,Cell motility;NeST:16;NeST:29;NeST:49;NeST:80,5,NeST:16,1,Gemcitabine,1,True
FUS,12,1.0916229691534286e-07,7.837852918521617e-05,True,Chromatin binding;Nucleolus;RNA metabolism;RNA processing 1;RNA processing 2;Ribosome abundance control,6,Chromatin binding;RNA processing 1,2,5-FU,1,True
