Current Name,NEST ID,New Name,Important,Direct Genes
Transcription,NEST:6,Regulation of transcription,0,"ANKRD11,ASXL1,ATM,ATR,BAP1,CUX1,DOT1L,ERCC2,ERCC3,ERCC5,ERCC6,FANCD2,HDAC5,LATS1,MAP3K7,MLLT3,MSH3,NCOR1,NUP98,PPP1CA,PPP2R1A,WT1,XPA"
Foxo signaling,NEST:168,CBP and p300 binds NF-kB complex,0,"AKT1,AR,CDKN1B,CREBBP,EP300,FOXO3,RARA,SMAD4,SMARCB1,VHL"
Regulation of beta catenin transcriptional activity,NEST:126,Regulation of beta catenin transcriptional activity,1,"CHEK2,CREBBP,CTNNB1,EP300,HDAC2,HDAC3,KAT6A,KMT2A,TCF3,TP53"
HDACs deacetylate histones,NEST:107,HDACs deacetylate histones,0,"AR,BCL6,HDAC1,HDAC2,HDAC4,HDAC5,RUNX1T1"
Nuclear transport,NEST:44,Nuclear transport,0,GATA3
Transcription elongation,NEST:42,Transcription elongation,1,"CDC73,CHD2,DNMT3A,KMT2A,PPP1CC,PTPN11,SETD2,TERT"
Cohesin,NEST:196,Cohesin complex,0,"RAD21,SMC1A,SMC3,STAG1,STAG2"
NeST:163,NEST:163,NEST:163,0,"ANKRD11,GPS2,HDAC3,NCOR1,NCOR2,PML,TBL1XR1"
Phosphatase 2A catalytic subunit,NEST:170,Phosphatase 2A catalytic subunit,0,"PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2A"
G1 to S cell cycle control,NEST:150,G1 to S cell cycle control,1,"CCND1,CCND2,CCND3,CCNE1,CCNE2,CDK4,CDK6,CDKN1A,CDKN1B,CDKN2A,CDKN2B,CDKN2C,TP53"
Beta-catenin destruction complex,NEST:239,Beta-catenin destruction complex,0,"APC,AXIN1,CTNNB1,GSK3B,HLA-A"
Fas,NEST:127,Intrinsic apoptosis pathway,1,"CASP8,DAXX,FAS,MAP2K4,MAPK1,PARP1,TP53"
Nuclear receptor signaling,NEST:60,Nuclear receptor transcription pathway,0,"BCL6,CEBPA,ESR2,GPS2,HDAC3,HDAC5,NRIP1,PGR,RARA,RUNX1T1,RXRA,TBL1XR1"
Resolution of D-loop structures,NEST:193,Resolution of D-loop structures,0,"BARD1,BLM,BRCA1,BRCA2,BUB1B,FANCD2,RAD51,RAD51C,TP53"
Culin-RIng uniqutin ligase complex,NEST:61,Ubiquitin ligase complex,1,"CUL3,DDB2,ELOC,MDM2,NF2,STK11,TET2,VHL"
