ID	Annotation	All_Genes	Size_All
NeST:150	G1 to S cell cycle control	"CCND1,CCND2,CCND3,CCNE1,CCNE2,CDK4,CDK6,CDKN1A,CDKN1B,CDKN2A,CDKN2B,CDKN2C,TP53"	13
NeST:153	EGFR/PI3K signaling	"ABL1,CBL,CRKL,CTNNB1,EGF,EGFR,ERBB2,MET,PIK3R1,PIK3R2,SOCS1"	11
NeST:155	H3 acetylation and H3K4 methylation crosstalk	"CTNNB1,EP300,EZH2,HIST3H3,TP53"	5
NeST:158	Histone modifications in DNA damage response	"CASP8,CTCF,HIST1H1C,HIST1H1E,PARP1,XPC"	6
NeST:16	NeST:16	"ADGRA2,ARID5B,CBR3,EBF1,EGF,EPCAM,ERG,FCGR2A,FGF10,FGF19,FLT1,FLT4,KDR,NEGR1,NOTCH4,PREX2,RET,SETBP1,SH2B3,SOX17,VEGFA,VSIR"	22
NeST:163	NeST:163	"ANKRD11,GPS2,HDAC3,NCOR1,NCOR2,PML,TBL1XR1"	7
NeST:165	Transcription coactivator activity	"E2F1,HIST3H3,MED1,TAF1,TP53"	5
NeST:168	Foxo signaling	"AKT1,AR,CDKN1B,CREBBP,EP300,FOXO3,RARA,SMAD4,SMARCB1,VHL"	10
NeST:169	Neg Regulation EGFR	"AKT1,CTNNB1,EGF,EGFR,NF2,PTEN"	6
NeST:17	RNA processing 1	"BCLAF1,CASP8,CDC73,CHEK2,CREBBP,CTCF,DDX3X,DKC1,EP300,EWSR1,FUS,HRAS,MDM2,NHP2,NPM1,PA2G4,PRPF40B,RBM10,RPL5,RPS15,SF1,SF3B1,SRSF2,TERT,TNF,TP53,U2AF1,UPF1,XPC,ZRSR2"	30
NeST:170	Phosphatase 2A catalytic subunit	"PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2A"	5
NeST:174	Wnt/beta-catenin	"AKT1,APC,AXIN1,AXIN2,CTNNB1,GSK3B,HLA-A,PPP1CA"	8
NeST:177	p53 regulation of cell cycle	"CDKN1A,CREBBP,EP300,RBL1,TP53"	5
NeST:18	Regulation of immune responses	"B2M,BIRC3,CARD11,CD19,CD274,CD40,CD70,CD79A,CD79B,CIITA,CTLA4,CXCR4,FLT3,GATA3,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DQB2,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,HLA-G,IDO1,IKZF1,IKZF3,IL15,IL7R,IRF1,IRF4,JAK3,KLHL6,LAG3,MS4A1,P2RY8,PDCD1,PDCD1LG2,PHOX2B,PRF1,PTPN22,SH2D1A,STAT4,TAP2,TIGIT,TNFRSF14,TNFRSF17,TNFRSF9"	57
NeST:182	Regulation of beta catenin transcription	"APC,CTNNA1,CTNNB1,EGFR,ERBB2,HDAC2,TCF7L2"	7
NeST:186	MDM2-p53 pathway	"ATM,ATR,CDKN1A,CHEK2,MDM2,MDM4,RB1,TP53"	8
NeST:19	RNA metabolism	"BCLAF1,BRD4,CASP8,CDC73,CREBBP,DDX3X,EWSR1,FUBP1,FUS,GATA3,PRCC,PRKDC,PRPF40B,RBM10,SF1,SF3B1,SPEN,SRSF2,TNF,U2AF1,UPF1,ZRSR2"	22
NeST:193	Resolution of D-loop structures	"BARD1,BLM,BRCA1,BRCA2,BUB1B,FANCD2,RAD51,RAD51C,TP53"	9
NeST:195	NeST:195	"EGFR,ERBB2,FGFR1,FRS2,KRAS,STAT3"	6
NeST:196	Cohesin	"RAD21,SMC1A,SMC3,STAG1,STAG2"	5
NeST:199	Oncogene induced senescence	"E2F1,E2F2,E2F4,MDM2,RB1,TFDP1,TP53"	7
