All_Genes,Annotation,Direct_Genes,name,NEST ID,shared name,Size-Log,Size_All,Size_Direct
"ANKRD11,AR,BCL6,CREBBP,GPS2,HDAC1,HDAC2,HDAC3,HDAC4,HDAC5,NCOA3,NCOR1,NCOR2,PML,RUNX1T1,TBL1XR1",Histone deacetylation,"AR,BCL6,HDAC1,HDAC2,HDAC4,HDAC5,RUNX1T1",HDACs deacetylate histones,NEST:107,HDACs deacetylate histones,1.2041199826559248,16,7
"DAXX,GATA3,NUP93,NUP98,RANBP2,TERT,XPO1",Nuclear transport,GATA3,Nuclear transport,NEST:44,Nuclear transport,0.8450980400142568,7,1
"CDC73,CHD2,DNMT3A,KMT2A,PPP1CC,PTPN11,SETD2,TERT",Transcription elongation,"CDC73,CHD2,DNMT3A,KMT2A,PPP1CC,PTPN11,SETD2,TERT",Transcription elongation,NEST:42,Transcription elongation,0.9030899869919435,8,8
"RAD21,SMC1A,SMC3,STAG1,STAG2",Cohesin complex,"RAD21,SMC1A,SMC3,STAG1,STAG2",Cohesin complex,NEST:196,Cohesin complex,0.6989700043360189,5,5
"ANKRD11,GPS2,HDAC3,NCOR1,NCOR2,PML,TBL1XR1",NEST:163,"ANKRD11,GPS2,HDAC3,NCOR1,NCOR2,PML,TBL1XR1",NEST:163,NEST:163,NEST:163,0.8450980400142568,7,7
"PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2A",Phosphatase 2A catalytic subunit,"PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2A",Phosphatase 2A catalytic subunit,NEST:170,Phosphatase 2A catalytic subunit,0.6989700043360189,5,5
"CCND1,CCND2,CCND3,CCNE1,CCNE2,CDK4,CDK6,CDKN1A,CDKN1B,CDKN2A,CDKN2B,CDKN2C,TP53",G1 to S cell cycle control,"CCND1,CCND2,CCND3,CCNE1,CCNE2,CDK4,CDK6,CDKN1A,CDKN1B,CDKN2A,CDKN2B,CDKN2C,TP53",G1 to S cell cycle control,NEST:150,G1 to S cell cycle control,1.1139433523068367,13,13
"APC,AXIN1,CTNNB1,GSK3B,HLA-A",Beta-catenin destruction complex,"APC,AXIN1,CTNNB1,GSK3B,HLA-A",Beta-catenin destruction complex,NEST:239,Beta-catenin destruction complex,0.6989700043360189,5,5
"CASP8,DAXX,FAS,MAP2K4,MAPK1,PARP1,TP53",Intrinsic apoptosis,"CASP8,DAXX,FAS,MAP2K4,MAPK1,PARP1,TP53",Intrinsic pathway for apoptosis,NEST:127,Intrinsic pathway for apoptosis,0.8450980400142568,7,7
"ANKRD11,BCL6,CEBPA,CREBBP,ESR2,GPS2,HDAC3,HDAC5,NCOA3,NCOR1,NCOR2,NRIP1,PGR,RARA,RUNX1T1,RXRA,TBL1XR1",Nuclear receptor transcription,"BCL6,CEBPA,ESR2,GPS2,HDAC3,HDAC5,NRIP1,PGR,RARA,RUNX1T1,RXRA,TBL1XR1",Nuclear receptor transcription pathway,NEST:60,Nuclear receptor transcription pathway,1.2304489213782739,17,12
"BARD1,BLM,BRCA1,BRCA2,BUB1B,FANCD2,RAD51,RAD51C,TP53",Resolution of D-loop structures,"BARD1,BLM,BRCA1,BRCA2,BUB1B,FANCD2,RAD51,RAD51C,TP53",Resolution of D-loop structures,NEST:193,Resolution of D-loop structures,0.9542425094393249,9,9
"CUL3,DDB2,ELOC,MDM2,NF2,STK11,TET2,VHL",COP9 signalosome/ Cul4-RING ubiquitin E3 ligase complex,"CUL3,DDB2,ELOC,MDM2,NF2,STK11,TET2,VHL",COP9 signalosome/Cul4-RING ubiquitin E3 ligase complex,NEST:61,COP9 signalosome/Cul4-RING ubiquitin E3 ligase complex,0.9030899869919435,8,8
"APC,CBL,CDH1,CDH2,CTNNA1,CTNNB1,EGF,EGFR,FYN,HDAC2",EGF/ beta-catenin signaling,"APC,CBL,CDH1,CDH2,CTNNA1,CTNNB1,EGF,EGFR,FYN,HDAC2",EGF/beta-catenin signaling,NEST:142,EGF/beta-catenin signaling,1,10,10
"ARFRP1,CALR,EGFR,SEC23B,TRAF3,TUSC3",Protein processing in ER,"ARFRP1,CALR,EGFR,SEC23B,TRAF3,TUSC3",Protein processing in endoplasmic reticulum,NEST:21,Protein processing in endoplasmic reticulum,0.7781512503836436,6,6
"APC,CBL,CDH1,CDH2,CTNNA1,CTNNB1,EGF,EGFR,ERBB2,FYN,HDAC1,HDAC2,SOX2,TCF7L2",Adherens junction,"HDAC1,SOX2",Adherens junction,NEST:108,Adherens junction,1.146128035678238,14,2
"BCR,CBL,CBLB,CSF3R,EGF,EGFR,ERBB2,ERBB3,ERBB4,FRS2,INPPL1,IRS1,JAK1,JAK2,PDGFRA,PIK3R1,PLCG2,PTPN11,RET,STAT3,STAT5A",Erb and JAK-STAT signaling,"BCR,CBL,CBLB,CSF3R,EGF,EGFR,ERBB2,ERBB3,ERBB4,FRS2,INPPL1,IRS1,JAK1,JAK2,PDGFRA,PIK3R1,PLCG2,PTPN11,RET,STAT3,STAT5A",Erb and JAK-STAT signaling,NEST:89,Erb and JAK-STAT signaling,1.3222192947339193,21,21
"CUL3,ELOC,FBXW7,HSP90AA1,PARK2,SKP1,STK11,VHL",COP9 signalosome/ SCF ubiquitin E3 ligase complex,"CUL3,ELOC,FBXW7,HSP90AA1,PARK2,SKP1,STK11,VHL",COP9 signalosome/SCF ubiquitin E3 ligase complex,NEST:77,COP9 signalosome/SCF ubiquitin E3 ligase complex,0.9030899869919435,8,8
"EGF,EGFR,ERBB3,ERBB4,FGF1,FGF2,FGF5,FGF7,FRS2,IGF1,IGF2,MYC,RB1,TP53",EGF/FGF stim. of cell proliferation,"EGF,EGFR,ERBB3,ERBB4,FGF1,FGF2,FGF5,FGF7,FRS2,IGF1,IGF2,MYC,RB1,TP53",EGF/FGF stimulation of cell proliferation,NEST:132,EGF/FGF stimulation of cell proliferation,1.146128035678238,14,14
"ARFRP1,CALR,CFTR,EGFR,KRAS,NRAS,PIK3C3,PREX2,RAB35,RAC1,RINT1,SEC23B,TNF,TRAF3,TUSC3",Membrane trafficking,"CFTR,KRAS,NRAS,PIK3C3,PREX2,RAB35,RAC1,RINT1,TNF",Membrane trafficking,NEST:12,Membrane trafficking,1.1760912590556813,15,9
"ABL1,CBL,CRKL,CTNNB1,EGF,EGFR,ERBB2,MET,PIK3R1,PIK3R2,SOCS1",PIK3-EGFR signaling,"ABL1,CBL,CRKL,CTNNB1,EGF,EGFR,ERBB2,MET,PIK3R1,PIK3R2,SOCS1",PIK3-EGFR signaling,NEST:153,PIK3-EGFR signaling,1.0413926851582251,11,11
