All_Genes,Annotation,Direct_Genes,name,NEST ID,shared name,Size-Log,Size_All,Size_Direct
"BCLAF1,BRD4,CASP8,CDC73,CREBBP,DDX3X,EWSR1,FUBP1,FUS,GATA3,PRCC,PRKDC,PRPF40B,RBM10,SF1,SF3B1,SPEN,SRSF2,TNF,U2AF1,UPF1,ZRSR2",mRNA splicing,"BRD4,DDX3X,FUBP1,GATA3,PRCC,PRKDC",mRNA splicing,NEST:19,mRNA splicing,1.3424226808222062,22,6
"BARD1,BLM,BRCA1,BRCA2,BUB1B,CCND1,CCND2,CCND3,CCNE1,CCNE2,CDK4,CDK5,CDK6,CDKN1A,CDKN1B,CDKN1C,CDKN2A,CDKN2B,CDKN2C,CHEK1,CKS1B,CREBBP,CTNNB1,E2F1,E2F4,EP300,FANCD2,HDAC1,HLA-A,MSH2,MSH6,MYC,RAD51,RAD51C,RB1,RBL1,RBL2,TERT,TOP2A,TP53,WRN",Regulation of CDK activity I,"CDK5,CDKN1C,MSH2,MSH6,TERT",Regulation of CDK activity,NEST:50,Regulation of CDK activity,1.6127838567197355,41,5
"AURKA,AURKB,BARD1,BLM,BRCA1,BRCA2,BRIP1,BUB1B,CCNE1,CDKN1A,CDKN1B,CHEK1,CKS1B,FANCD2,MKI67,MLH1,MLH3,MSH2,MSH3,MSH6,PMS1,PMS2,POLD1,POLE,RAD51,RAD51C,RB1,TERT,TOP2A,TP53,WRN,XRCC2",DNA metabolic process,"CCNE1,CDKN1A,CDKN1B,CKS1B,MLH3,POLD1,POLE,RB1,TERT,XRCC2",DNA metabolic process,NEST:30,DNA metabolic process,1.505149978319906,32,10
"CTNNB1,EP300,EZH2,HIST3H3,TP53",H3-ac. & H3K4-me crosstalk,"CTNNB1,EP300,EZH2,HIST3H3,TP53",H3 acetylation and H3K4 methylation crosstalk,NEST:155,H3 acetylation and H3K4 methylation crosstalk,0.6989700043360189,5,5
"RAD21,SMARCA4,SMC1A,SMC3,STAG1,STAG2",Extended cohesin complex,SMARCA4,Extended cohesin complex,NEST:121,Extended cohesin complex,0.7781512503836436,6,1
"AURKB,BRCA1,CHD4,H3F3A,HDAC1,HDAC2,HIST3H3,MTA1,SMARCA4,TAF1,TP53",DNA replication dependent nucleosome assembly,"AURKB,BRCA1,CHD4,H3F3A,HDAC1,HDAC2,HIST3H3,MTA1,SMARCA4,TAF1,TP53",DNA replication dependent nucleosome assembly,NEST:94,DNA replication dependent nucleosome assembly,1.0413926851582251,11,11
"ATM,AURKA,BARD1,BLM,BRCA1,BRCA2,BRIP1,BUB1B,CDC73,CHEK1,FANCA,FANCD2,MDC1,MDM2,MRE11,MSH6,NBN,PALB2,POLH,RAD50,RAD51,RAD51B,RAD51C,RAD51D,TOP2A,TP53,WRN,XRCC2,XRCC3",Recombinational repair,"ATM,AURKA,BRIP1,CDC73,FANCA,MDC1,MDM2,MRE11,MSH6,NBN,PALB2,POLH,RAD50,RAD51B,RAD51D,XRCC2,XRCC3",Recombinational repair,NEST:79,Recombinational repair,1.462397997898956,29,17
"BARD1,BIRC3,BRCA1,CBL,CHEK2,EGFR,MDM2,MDM4,MIB1,TNF,TP53",BRCA1 mediated protein ubiquitination,"BARD1,BIRC3,BRCA1,CBL,CHEK2,EGFR,MDM2,MDM4,MIB1,TNF,TP53",BRCA1 mediated protein ubiquitination,NEST:70,BRCA1 mediated protein ubiquitination,1.0413926851582251,11,11
"ATM,ATR,BRCA1,BUB1B,CCND1,CCNE1,CDKN1A,CDKN1B,CDKN2A,CHEK2,CKS1B,CREBBP,E2F1,E2F2,E2F4,E2F5,EP300,HDAC1,MDM2,MDM4,MYC,NPM1,PARP1,RB1,RBL1,RBL2,TFDP1,TP53,TP63",Cell cycle arrest,"BRCA1,BUB1B,CCND1,CCNE1,CDKN1B,CDKN2A,CKS1B,E2F5,HDAC1,MYC,NPM1,PARP1,TP63",Cell cycle arrest,NEST:65,Cell cycle arrest,1.462397997898956,29,13
"ERBB2,ERBB4,FGFR2,FGFR4,HRAS,KRAS",FGFR-ERBB-RAS signaling,"ERBB2,ERBB4,FGFR2,FGFR4,HRAS,KRAS",FGFR-ERBB-RAS signaling,NEST:256,FGFR-ERBB-RAS signaling,0.7781512503836436,6,6
"BCL11B,CHD4,CREBBP,DNMT1,E2F1,EZH2,HDAC1,HDAC2,ING1,IRF2,MTA1,PALB2,PARP1,RUNX1,TP53,ZBTB2",Nucleosome remodeling,"BCL11B,CHD4,CREBBP,DNMT1,E2F1,EZH2,HDAC1,HDAC2,ING1,IRF2,MTA1,PALB2,PARP1,RUNX1,TP53,ZBTB2",Nucleosome remodeling,NEST:55,Nucleosome remodeling,1.2041199826559248,16,16
"ACVR1B,AKT2,AKT3,ALK,BMPR1A,CCND1,EBF1,EGLN1,FOXO1,FOXO3,IGF1R,INSR,IRS2,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R2,PIK3R3,PTEN,RARA,SMAD4,SOD2,TGFBR1,TGFBR2",AKT/activin signaling,"ACVR1B,AKT2,AKT3,ALK,BMPR1A,CCND1,EBF1,EGLN1,FOXO1,FOXO3,IGF1R,INSR,IRS2,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R2,PIK3R3,PTEN,RARA,SMAD4,SOD2,TGFBR1,TGFBR2",AKT/activin signaling,NEST:52,AKT/activin signaling,1.3979400086720377,25,25
"AKT1,CTNNB1,EGF,EGFR,NF2,PTEN",AKT1 activation,"AKT1,CTNNB1,EGF,EGFR,NF2,PTEN",AKT1 activation,NEST:169,AKT1 activation,0.7781512503836436,6,6
"ABL1,ACVR1B,AKT1,AMER1,ANKRD11,AR,ARAF,ARID1A,ARID1B,ARID2,ASNS,ASXL1,ASXL2,ATIC,ATM,ATR,ATRX,AURKA,AURKB,AXIN2,BAP1,BARD1,BCL11B,BCL2L12,BCL6,BCL7A,BCLAF1,BCOR,BCORL1,BLM,BRAF,BRCA1,BRCA2,BRD4,BRIP1,BTG1,BUB1B,CASP8,CCDC6,CCND1,CCND2,CCND3,CCNE1,CCNE2,CDC25A,CDC73,CDK12,CDK4,CDK5,CDK6,CDK8,CDKN1A,CDKN1B,CDKN1C,CDKN2A,CDKN2B,CDKN2C,CEP57,CHD2,CHD4,CHEK1,CHEK2,CIC,CKS1B,CREBBP,CRKL,CTC1,CTCF,CTNNB1,CUL3,CUX1,DAXX,DDB2,DDX3X,DICER1,DIS3,DKC1,DNMT1,DNMT3A,DNMT3B,DOT1L,E2F1,E2F2,E2F3,E2F4,E2F5,E2F6,EED,EGLN1,ELOC,EMSY,EP300,ERCC1,ERCC2,ERCC3,ERCC4,ERCC5,ERCC6,ESR1,EWSR1,EZH2,FANCA,FANCB,FANCC,FANCD2,FANCE,FANCF,FANCG,FANCI,FANCL,FANCM,FBXW7,FOXL2,FOXO3,FRS2,FUBP1,FUS,GATA1,GATA3,GEN1,GID4,GPS2,GSTP1,H3F3A,H3F3C,HDAC1,HDAC2,HDAC3,HDAC4,HDAC5,HIF1A,HIST1H1C,HIST1H1E,HIST1H2BD,HIST1H3F,HIST1H4E,HIST3H3,HLA-A,HRAS,HSP90AA1,HSPH1,IKZF1,ING1,INHBA,IRF2,JUN,KAT6A,KDM5A,KDM5C,KDM6A,KMT2A,KMT2B,KMT2C,KMT2D,KRAS,LATS1,LEF1,LMNA,MAD2L2,MAGI2,MAP3K7,MAX,MDC1,MDM2,MDM4,MECOM,MED1,MED12,MEN1,MGA,MGMT,MIB1,MKI67,MLH1,MLH3,MLLT3,MRE11,MSH2,MSH3,MSH6,MTA1,MTOR,MUTYH,MYB,MYC,MYCL,MYCN,NBN,NCOA3,NCOR1,NCOR2,NF1,NF2,NHP2,NKX3-1,NPM1,NSD1,NSD2,NUP93,NUP98,PA2G4,PALB2,PARK2,PARP1,PBRM1,PCBP1,PELP1,PHB2,PHF6,PIAS4,PIK3C3,PML,PMS1,PMS2,PNRC1,POLD1,POLE,POLH,POT1,PPP1CA,PPP1CB,PPP1CC,PPP1R15A,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2A,PPP6C,PRCC,PRDM1,PRKCZ,PRKDC,PRPF40B,PTPN11,RAB35,RAD21,RAD50,RAD51,RAD51B,RAD51C,RAD51D,RAD52,RAD54L,RAF1,RANBP2,RARA,RB1,RBL1,RBL2,RBM10,RECQL4,REL,RHOA,RICTOR,RINT1,RPL5,RPS15,RPS6KB1,RPTOR,RSF1,RUNX1,RUNX1T1,RXRA,SETD2,SF1,SF3B1,SHQ1,SKP1,SLX4,SMAD2,SMAD3,SMAD4,SMARCA1,SMARCA4,SMARCB1,SMARCE1,SMC1A,SMC3,SOCS1,SOX2,SPEN,SRSF2,STAG1,STAG2,STAT3,STK11,SUZ12,TAF1,TAP2,TBL1XR1,TCF3,TERT,TET2,TFDP1,TGFBR1,TNF,TOP1,TOP2A,TP53,TP63,TRAF7,TSC1,TSC2,TYMS,U2AF1,UBE2T,UMPS,UPF1,VHL,WEE1,WRN,WT1,XPA,XPC,XPO1,XRCC1,XRCC2,XRCC3,YEATS4,ZBTB2,ZNF217,ZRSR2",Nucleus and ribosome,"ABL1,ACVR1B,AMER1,AXIN2,BCL2L12,CEP57,CIC,CRKL,CTC1,EGLN1,FANCB,FANCF,FRS2,GEN1,GID4,HIST1H2BD,HIST1H3F,HIST1H4E,HSPH1,INHBA,KDM5C,KRAS,LEF1,LMNA,MAD2L2,MECOM,MGMT,MIB1,MTOR,MUTYH,NKX3-1,PIK3C3,PPP1CB,PPP1R15A,RAB35,RAD52,RECQL4,RICTOR,RINT1,RPS6KB1,RPTOR,SOCS1,SUZ12,TAP2,TRAF7,TSC1,TSC2,WEE1",Nucleus and ribosome,NEST:3,Nucleus and ribosome,2.509202522331103,323,48
"ALOX12B,CDH1,CDH2,EPCAM,FLG,KLF4,PRSS8,ZNF750",Keratinization,"ALOX12B,CDH1,CDH2,EPCAM,FLG,KLF4,PRSS8,ZNF750",Keratinization,NEST:24,Keratinization,0.9030899869919435,8,8
"ABCC3,ABL1,ABL2,ACTA2,ADGRA2,AKT1,APOB,ARHGAP26,ARID5B,ATP7B,AXL,B2M,BCAR1,BCL2L12,BIRC3,BTK,C8orf34,CARD11,CASR,CBL,CBLB,CBR3,CCND1,CD19,CD22,CD274,CD276,CD40,CD70,CD79A,CD79B,CDH1,CHEK2,CIITA,CRKL,CSF1R,CSF3R,CTLA4,CUL3,CXCR4,CYLD,CYP1B1,CYP2D6,CYP3A5,DMD,DNM2,DPYD,EBF1,EGF,EGFL7,EGFR,ENG,EPCAM,EPHA2,EPHA3,EPHA5,EPHA7,EPHB1,EPHB2,EPOR,ERBB2,ERBB4,ERG,ERRFI1,ESR1,ETS1,EXT2,FAM46C,FANCC,FAS,FBXO11,FCGR2A,FCGR3A,FGF10,FGF19,FGF23,FGFR3,FLT1,FLT3,FLT4,FOXA1,FOXP1,FRS2,FYN,GALNT12,GATA1,GATA3,GNA11,GNA13,GNAQ,GNAS,GPC3,GREM1,GRIN2A,HAVCR2,HGF,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DQB2,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,HLA-G,HNF1A,HNF1B,HRAS,HSP90AA1,IDH1,IDO1,IFIT1,IFIT2,IFIT3,IFNAR1,IFNAR2,IFNGR1,IFNGR2,IGF1,IKBKE,IKZF1,IKZF3,IL10RA,IL15,IL2RA,IL6R,IL7R,INHBA,IRF1,IRF2,IRF4,IRS1,IRS2,JAK1,JAK2,JAK3,KDR,KIF1B,KIT,KLHL6,LAG3,LATS1,LMNA,LYN,MAFB,MAP2K1,MAPK1,MC1R,MPL,MS4A1,MST1,MYD88,MYH11,MYOD1,NEGR1,NF2,NFE2L2,NFKBIA,NKX2-1,NOTCH4,NTRK3,P2RY8,PAK1,PAK3,PAK5,PALLD,PCBP1,PDCD1,PDCD1LG2,PDGFRA,PDGFRB,PHOX2B,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R2,PIK3R3,PLCG2,PLK2,PML,POU2F2,PPP1CB,PRDM1,PREX2,PRF1,PTK2,PTPN11,PTPN22,PTPRD,QKI,RAC1,RASA1,RET,RHOA,RHPN2,SETBP1,SH2B3,SH2D1A,SLIT2,SMAD3,SOCS1,SOD2,SOX17,SPRED1,SPTA1,SRC,STAT3,STAT4,STAT5A,STAT5B,STAT6,SYK,TAP1,TAP2,TIGIT,TLR4,TMEM127,TMEM173,TNF,TNFAIP3,TNFRSF14,TNFRSF17,TNFRSF9,TPM1,TPMT,VEGFA,VSIR",Cytoplasm and extracellular space,"AKT1,BCAR1,CCND1,CRKL,ERBB2,ERBB4,FGFR3,FRS2,GRIN2A,HRAS,IFNAR1,IFNGR1,KIF1B,MAP2K1,MC1R,MPL,PIK3R2,PIK3R3,PTK2,RASA1,SMAD3,SRC",Cytoplasm and extracellular space,NEST:2,Cytoplasm and extracellular space,2.376576957056512,238,22
"AKT1,MTOR,RICTOR,RPS6KB1,RPTOR",AKT/MTOR pathway I,"AKT1,MTOR,RICTOR,RPS6KB1,RPTOR",AKT/MTOR pathway I,NEST:145,AKT/MTOR pathway I,0.6989700043360189,5,5
"ABCB1,ABCC3,ABL1,ABL2,ACTA2,ACVR1B,ADGRA2,AJUBA,AKT1,AKT2,AKT3,ALK,ALOX12B,AMER1,ANKRD11,APC,APOB,AR,ARAF,ARFRP1,ARHGAP26,ARHGAP35,ARID1A,ARID1B,ARID2,ARID5B,ASNS,ASXL1,ASXL2,ATIC,ATM,ATP7B,ATR,ATRX,AURKA,AURKB,AXIN1,AXIN2,AXL,B2M,BAP1,BARD1,BCAR1,BCL10,BCL11B,BCL2,BCL2L1,BCL2L11,BCL2L12,BCL2L2,BCL6,BCL7A,BCLAF1,BCOR,BCORL1,BCR,BIRC3,BLM,BMPR1A,BRAF,BRCA1,BRCA2,BRD4,BRIP1,BTG1,BTK,BUB1B,C11orf65,C3orf70,C8orf34,CADM2,CALR,CARD11,CASP8,CASR,CBFB,CBL,CBLB,CBLC,CBR3,CCDC6,CCND1,CCND2,CCND3,CCNE1,CCNE2,CD19,CD22,CD274,CD276,CD40,CD70,CD79A,CD79B,CDC25A,CDC73,CDH1,CDH2,CDK12,CDK4,CDK5,CDK6,CDK8,CDKN1A,CDKN1B,CDKN1C,CDKN2A,CDKN2B,CDKN2C,CEBPA,CEP57,CFTR,CHD2,CHD4,CHEK1,CHEK2,CIC,CIITA,CKS1B,CREBBP,CRKL,CRLF2,CSF1R,CSF3R,CTC1,CTCF,CTLA4,CTNNA1,CTNNB1,CTRC,CUL3,CUX1,CXCR4,CYLD,CYP1B1,CYP2D6,CYP3A5,DAXX,DDB2,DDR2,DDX3X,DICER1,DIS3,DIS3L2,DKC1,DMD,DNM2,DNMT1,DNMT3A,DNMT3B,DOT1L,DPYD,DYNC2H1,E2F1,E2F2,E2F3,E2F4,E2F5,E2F6,EBF1,ECT2L,EED,EGF,EGFL7,EGFR,EGLN1,ELF3,ELOC,EMSY,ENG,EP300,EPCAM,EPHA2,EPHA3,EPHA5,EPHA7,EPHB1,EPHB2,EPOR,ERBB2,ERBB3,ERBB4,ERCC1,ERCC2,ERCC3,ERCC4,ERCC5,ERCC6,ERG,ERRFI1,ESR1,ESR2,ETS1,ETS2,ETV1,ETV4,ETV5,ETV6,EWSR1,EXT2,EZH2,FAM46C,FANCA,FANCB,FANCC,FANCD2,FANCE,FANCF,FANCG,FANCI,FANCL,FANCM,FAS,FAT1,FBXO11,FBXW7,FCGR2A,FCGR3A,FDPS,FGF1,FGF10,FGF14,FGF19,FGF2,FGF23,FGF3,FGF4,FGF5,FGF6,FGF7,FGF8,FGF9,FGFR1,FGFR2,FGFR3,FGFR4,FH,FHIT,FLCN,FLG,FLT1,FLT3,FLT4,FNTB,FOXA1,FOXL2,FOXO1,FOXO3,FOXP1,FOXQ1,FRS2,FUBP1,FUS,FYN,G6PD,GABRA6,GALNT12,GATA1,GATA2,GATA3,GATA4,GATA6,GEN1,GID4,GLI1,GLI2,GLI3,GNA11,GNA13,GNAQ,GNAS,GPC3,GPER1,GPS2,GREM1,GRIN2A,GRM3,GSK3B,GSTP1,H3F3A,H3F3C,HAS3,HAVCR2,HDAC1,HDAC2,HDAC3,HDAC4,HDAC5,HGF,HIF1A,HIST1H1C,HIST1H1E,HIST1H2BD,HIST1H3F,HIST1H4E,HIST3H3,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DQB2,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,HLA-G,HNF1A,HNF1B,HOXB13,HRAS,HSD3B1,HSP90AA1,HSPH1,IDH1,IDH2,IDO1,IFIT1,IFIT2,IFIT3,IFNAR1,IFNAR2,IFNGR1,IFNGR2,IFNL3,IGF1,IGF1R,IGF2,IKBKE,IKZF1,IKZF3,IL10RA,IL15,IL2RA,IL6R,IL7R,ING1,INHBA,INPP4A,INPP4B,INPPL1,INSR,IRF1,IRF2,IRF4,IRS1,IRS2,ITPKB,JAK1,JAK2,JAK3,JUN,KAT6A,KDM5A,KDM5C,KDM6A,KDM6B,KDR,KEAP1,KEL,KIF1B,KIT,KLF4,KLHL6,KLLN,KMT2A,KMT2B,KMT2C,KMT2D,KRAS,LAG3,LATS1,LATS2,LDLR,LEF1,LMNA,LMO1,LRP1B,LYN,LZTR1,MAD2L2,MAF,MAFB,MAGI2,MALT1,MAP2K1,MAP2K2,MAP2K4,MAP3K1,MAP3K7,MAPK1,MAX,MC1R,MCL1,MDC1,MDM2,MDM4,MECOM,MED1,MED12,MEF2B,MEN1,MET,MGA,MGMT,MIB1,MITF,MKI67,MLH1,MLH3,MLLT3,MPL,MRE11,MS4A1,MSH2,MSH3,MSH6,MST1,MST1R,MTA1,MTAP,MTHFR,MTOR,MTRR,MUTYH,MYB,MYC,MYCL,MYCN,MYD88,MYH11,MYOD1,NBN,NCOA3,NCOR1,NCOR2,NEGR1,NF1,NF2,NFE2L2,NFKBIA,NHP2,NKX2-1,NKX3-1,NOTCH1,NOTCH2,NOTCH3,NOTCH4,NPM1,NQO1,NRAS,NRG1,NRIP1,NSD1,NSD2,NT5C2,NTHL1,NTRK1,NTRK2,NTRK3,NUDT15,NUP93,NUP98,P2RY8,PA2G4,PAK1,PAK3,PAK5,PALB2,PALLD,PARK2,PARP1,PAX5,PAX7,PAX8,PBRM1,PCBP1,PDCD1,PDCD1LG2,PDGFRA,PDGFRB,PDK1,PDPK1,PELP1,PGR,PHB2,PHF6,PHOX2B,PIAS4,PIK3C2B,PIK3C2G,PIK3C3,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK3R1,PIK3R2,PIK3R3,PIM1,PLCG2,PLK2,PML,PMS1,PMS2,PNRC1,POLD1,POLE,POLH,POT1,POU2F2,PPP1CA,PPP1CB,PPP1CC,PPP1R15A,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2A,PPP6C,PRAME,PRCC,PRDM1,PREX2,PRF1,PRKAR1A,PRKCI,PRKCZ,PRKDC,PRPF40B,PRSS1,PRSS2,PRSS8,PTCH1,PTCH2,PTEN,PTK2,PTPN11,PTPN13,PTPN22,PTPRD,QKI,RAB35,RAC1,RAD21,RAD50,RAD51,RAD51B,RAD51C,RAD51D,RAD52,RAD54L,RAF1,RANBP2,RARA,RASA1,RB1,RBL1,RBL2,RBM10,RECQL4,REL,RET,RHOA,RHPN2,RICTOR,RINT1,RIT1,RNF139,RNF43,ROS1,RPL5,RPS15,RPS6KA4,RPS6KB1,RPS6KB2,RPTOR,RSF1,RUNX1,RUNX1T1,RXRA,SCG5,SDHA,SDHAF2,SDHB,SDHC,SDHD,SEC23B,SEMA3C,SETBP1,SETD2,SF1,SF3B1,SGK1,SH2B3,SH2D1A,SHQ1,SKP1,SLC26A3,SLC47A2,SLIT2,SLX4,SMAD2,SMAD3,SMAD4,SMARCA1,SMARCA4,SMARCB1,SMARCE1,SMC1A,SMC3,SMO,SNCAIP,SOCS1,SOD2,SOX10,SOX17,SOX2,SOX9,SPEN,SPINK1,SPOP,SPRED1,SPTA1,SQSTM1,SRC,SRSF2,STAG1,STAG2,STAT3,STAT4,STAT5A,STAT5B,STAT6,STK11,SUFU,SUZ12,SYK,TAF1,TANC1,TAP1,TAP2,TBC1D12,TBL1XR1,TBX3,TCF3,TCF7L2,TCL1A,TERT,TET1,TET2,TFDP1,TFF1,TGFBR1,TGFBR2,TIGIT,TLR4,TMEM127,TMEM173,TMPRSS2,TNF,TNFAIP3,TNFRSF14,TNFRSF17,TNFRSF9,TOP1,TOP2A,TP53,TP63,TPM1,TPMT,TPRX1,TRAF2,TRAF3,TRAF7,TSC1,TSC2,TSHR,TUSC3,TYMS,U2AF1,UBE2T,UMPS,UPF1,VEGFA,VHL,VSIR,WEE1,WISP3,WNT7A,WRN,WT1,XPA,XPC,XPO1,XRCC1,XRCC2,XRCC3,YAP1,YEATS4,ZBTB2,ZFHX3,ZNF217,ZNF471,ZNF620,ZNF703,ZNF750,ZNRF3,ZRSR2",NeST,"ABCB1,AJUBA,ARHGAP35,BCL10,C11orf65,C3orf70,CADM2,CBFB,CBLC,CRLF2,DDR2,DIS3L2,DYNC2H1,ECT2L,ELF3,ETS2,ETV1,ETV6,FAT1,FDPS,FGF14,FGF3,FGF4,FGF6,FGF8,FGF9,FHIT,FLCN,FNTB,FOXQ1,G6PD,GABRA6,GATA2,GATA4,GATA6,GLI1,GLI2,GLI3,GPER1,GRM3,HAS3,HOXB13,HSD3B1,IDH2,IFNL3,INPP4A,INPP4B,KDM6B,KEL,KLLN,LATS2,LMO1,LRP1B,LZTR1,MAF,MALT1,MEF2B,MITF,MST1R,MTAP,MTHFR,MTRR,NOTCH3,NQO1,NRG1,NT5C2,NTHL1,NTRK1,NTRK2,NUDT15,PAX5,PAX7,PAX8,PDK1,PIK3C2B,PIK3C2G,PIM1,PRSS2,PTCH1,PTCH2,RNF139,RNF43,ROS1,RPS6KA4,RPS6KB2,SCG5,SDHAF2,SDHC,SDHD,SEMA3C,SGK1,SLC26A3,SLC47A2,SMO,SNCAIP,SOX10,SOX9,SPINK1,SPOP,SUFU,TANC1,TCL1A,TET1,TFF1,TMPRSS2,TPRX1,TSHR,WISP3,WNT7A,ZFHX3,ZNF620,ZNF703,ZNRF3",NeST,NEST,NeST,2.856124444,718,113
"EGFR,IGF1R,INSR,IRS1,PDPK1,PTEN",EGFR-insulin receptor cross-talk,"EGFR,IGF1R,INSR,IRS1,PDPK1,PTEN",EGFR-insulin receptor cross-talk,NEST:254,EGFR-insulin receptor cross-talk,0.7781512503836436,6,6
"ABL1,AKT1,ARAF,BCAR1,BCR,BRAF,BTK,CBL,CBLB,CDKN1B,CRKL,CSF3R,EGF,EGFR,EPHB2,ERBB2,ERBB3,ERBB4,FGFR1,FRS2,FYN,GSK3B,HLA-A,HRAS,IFNAR1,IFNAR2,IFNGR1,INPPL1,IRS1,JAK1,JAK2,KRAS,MAP2K1,MAP2K2,MAPK1,NRAS,PDGFRA,PIK3R1,PLCG2,PTK2,PTPN11,RAF1,RASA1,RET,SRC,STAT3,STAT5A,STAT5B,STAT6,SYK,TNF,TP53,TSC2",Transmembrane RTK signaling,"ABL1,AKT1,BCAR1,BTK,CDKN1B,CRKL,EPHB2,FYN,GSK3B,HLA-A,IFNAR1,IFNAR2,IFNGR1,MAP2K2,NRAS,PTK2,RASA1,SRC,STAT5B,STAT6,SYK,TNF,TP53,TSC2",Transmembrane receptor tyrosine kinase signaling,NEST:38,Transmembrane receptor tyrosine kinase signaling,1.724275869600789,53,24
"C8orf34,CBL,FBXO11,GALNT12,MYOD1,TPM1",Structural constituent of muscle,FBXO11,Structural constituent of muscle,NEST:22,Structural constituent of muscle,0.7781512503836436,6,1
